Sanskrit,Without Sandhi,Multipule Morphology,Morph in Context,Samaasa structural analysis,Samaasa vigraha,Kaaraka relation,Category,Hindi Meaning,English Meaning,Derivational Meaning,Sandhi rules,Meter: Guru-Laghu
तु,त्वघं,तु{अव्य},तु{अव्य},-,-,सम्बन्धः 9,-,तो,of_sin,-,-,GLGG
अघम्,-,अघ{पुं}{2;एक}/अघ{नपुं}{1;एक}/अघ{नपुं}{2;एक},अघ{नपुं}{2;एक},-,-,कर्म 12,-,पाप_को,partake,-,-,GGL
भुञ्जते,भुञ्जते,भुज्2{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;भुजँ;रुधादिः},भुज्{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;भुजँ;रुधादिः},-,-,-,-,खाते_हैं,3.14.Jall_beings,-,-,L
3.14.Aभूतानि,3.14.Bभूतानि,3.14.Cभूत{नपुं}{1;बहु}/भूत{नपुं}{2;बहु}/भूत{नपुं}{8;बहु},3.14.Dभूत{नपुं}{1;बहु},3.14.E-,3.14.F-,3.14.Gकर्ता 3,3.14.H-,3.14.Iसम्पूर्ण_प्राणी,from_food,-,-,LGGL
अन्नात्,अन्नाद्भवन्ति,अन्न{नपुं}{5;एक},अन्न{नपुं}{5;एक},-,-,अपादानम् 3,-,अन्न_से,are_evolved,-,-,4.41.MGGGGLGGG
भवन्ति,-,भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भू;भ्वादिः}/भवन्ती{स्त्री}{8;एक},भू{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भू;भ्वादिः},-,-,-,-,उत्पन्न_होते_हैं,production_of_food,4.40.K-,4.41.Lजश्त्व-सन्धिः (झलां जशोऽन्ते (8।2।39)),GLL
अन्न-सम्भवः,-,अन्न-सम्भव{पुं}{1;एक},अन्न-सम्भव{पुं}{1;एक},<अन्न-सम्भवः>T6,अन्नस्य सम्भवः = अन्नसम्भवः,कर्ता 6,-,अन्न_की_उत्पत्ति,by_rain,-,-,GG
पर्जन्यात्,पर्जन्यादन्नसम्भवः,पर्जन्य{पुं}{5;एक},पर्जन्य{पुं}{5;एक},-,-,अपादानम् 6,-,वृष्टि_से,is_possible,-,-,GLG
(भवति),-,(भवत्{पुं}{7;एक}/भवती{स्त्री}{8;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}),(भू){कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः},-,-,-,-,(होती_है),rain,आत्मा परमात्मा मनः अप्रमादो वा अस्यास्तीति आत्मवान् तं,-,GGLGLG
पर्जन्यः,पर्जन्यो,पर्जन्य{पुं}{1;एक},पर्जन्य{पुं}{1;एक},-,-,कर्ता 9,-,वृष्टि,from_sacrifice,-,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),GGG
यज्ञात्,यज्ञाद्भवति,यज्ञ{पुं}{5;एक},यज्ञ{पुं}{5;एक},-,-,अपादानम् 9,-,यज्ञ_से,ensues,-,वृद्धि-सन्धिः (वृद्धिरेचि (6।1।88)),GGGGGGL
भवति,-,भवत्{पुं}{7;एक}/भवती{स्त्री}{8;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः},भू{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः},-,-,-,-,होती_है,sacrifice,-,गुण-सन्धिः (आद्गुणः (6।1।87)),5.1.MGL
यज्ञः,यज्ञः,यज्ञ{पुं}{1;एक},यज्ञ{पुं}{1;एक},-,-,कर्ता 12,-,यज्ञ,in_prescribed_action,4.41.K-,5.1.L-,GLG
कर्म-समुद्भवः,कर्मसमुद्भवः,कर्मन्-समुद्भव{पुं}{1;एक},कर्मन्-समुद्भव{पुं}{1;एक},<कर्म-समुद्भवः>T5,कर्मभ्यः समुद्भवः = कर्मसमुद्भवः,कर्तृसमानाधिकरणम् 12,-,विहित_कर्मों_से_उत्पन्न,is_rooted,-,-,GGG
(भवति),-,(भवत्{पुं}{7;एक}/भवती{स्त्री}{8;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}),(भू){कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः},-,-,-,-,(होनेवाला_है),you,-,-,L
(त्वम्),-,(युष्मद्{1;एक}),(युष्मद्){1;एक},-,-,कर्ता 19,-,(तू),prescribed_action,-,-,LGGG
कर्म,कर्म,कर्मन्{नपुं}{1;एक}/कर्मन्{नपुं}{2;एक},कर्मन्{नपुं}{2;एक},-,-,कर्म 19,-,कर्मसमुदाय_को,has_its_origin_in_the_Vedas,-,-,GLL
ब्रह्म-उद्भवम्,ब्रह्मोद्भवं,ब्रह्मन्-उद्भव{पुं}{2;एक},ब्रह्मन्-उद्भव{पुं}{2;एक},<ब्रह्म-उद्भवम्>Bs6,ब्रह्मणः उद्भवः यस्य तत् = ब्रह्मोद्भवः तम् ब्रह्मोद्भवम्,समुच्चितम् 16,-,वेद_से_उत्पन्न,and,-,-,GLGGG
(च),-,(च{अव्य}),(च){अव्य},-,-,कर्मसमानाधिकरणम् 19,-,(और),the_Vedas,-,रेफ-सन्धिः (ससजुषो रुः (8।2।66)),GGL
ब्रह्म,ब्रह्माक्षरसमुद्भवम्,ब्रह्म{नपुं}{8;एक}/ब्रह्मन्{नपुं}{1;एक}/ब्रह्मन्{नपुं}{2;एक},ब्रह्मन्{नपुं}{2;एक},-,-,कर्म 19,-,वेद_को,proceed_from_the_Indestructible_(God),5.1.K-,जश्त्व-श्चुत्व-चर्त्व-छत्व (झलां जशोऽन्ते (8।2।39)-स्तोः श्चुना श्चुः (8।4।40)-खरि च (8।4।55)-शश्छोऽटि (8।4।63)) / रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-लोपः शाकल्यस्य (8।3।19)),LGLL
अक्षर-समुद्भवम्,-,अक्षर-समुद्भव{पुं}{2;एक},अक्षर-समुद्भव{पुं}{2;एक},<अक्षर-समुद्भवम्>Bs6,अक्षरं समुद्भवो यस्य तत् = अक्षरसमुद्भवः तम् अक्षरसमुद्भवम्,समुच्चितम् 16,-,अविनाशी_परमात्मा_से_उत्पन्न_हुआ,know,-,-,GG
विद्धि,विद्धि,विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः},विद्{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः},-,-,-,-,जान,hence,-,अनुनासिक-सन्धिः (यरोऽनुनासिकेऽनुनासिको वा (8।4।45)),GL
तस्मात्,तस्मात्सर्वगतं,तस्मात्{अव्य}/तद्{पुं}{5;एक}/तद्{नपुं}{5;एक},तद्{पुं}{5;एक},-,-,हेतुः 25,-,इससे,the_all-pervading,-,-,5.2.MGGG
सर्व-गतम्,-,सर्व-गत{पुं}{2;एक}/गत{नपुं}{1;एक}/गत{नपुं}{2;एक},सर्व-गत{नपुं}{1;एक},<सर्व-गतम्>K1,सर्वम् तत् गतम् = सर्वगतम्,विशेषणम् 22,-,सर्वव्यापी,Infinite,-,5.2.L-,GLGGL
ब्रह्म,ब्रह्म,ब्रह्म{नपुं}{8;एक}/ब्रह्मन्{नपुं}{1;एक}/ब्रह्मन्{नपुं}{2;एक},ब्रह्मन्{नपुं}{1;एक},-,-,कर्ता 25,-,परम_अक्षर_परमात्मा,always,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)),GGLLLGLG
नित्यम्,नित्यं,नित्य{पुं}{2;एक}/नित्य{नपुं}{1;एक}/नित्य{नपुं}{2;एक},नित्य{नपुं}{2;एक},-,-,क्रियाविशेषणम् 25,-,सदा_ही,in_sacrifice,-,यान्तवान्त-सन्धिः (एचोऽयवायावः (6।1।78)),LGL
यज्ञे,यज्ञे,यज्ञ{पुं}{7;एक},यज्ञ{पुं}{7;एक},-,-,अधिकरणम् 25,-,यज्ञ_में,present,-,सत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)),GLGGGGLGG
प्रतिष्ठितम्,प्रतिष्ठितम्,प्रतिष्ठित{पुं}{2;एक}/प्रतिष्ठित{नपुं}{1;एक}/प्रतिष्ठित{नपुं}{2;एक},प्र_स्था{कृत्_प्रत्ययः:क्त;प्र_ष्ठा;भ्वादिः;नपुं}{1;एक},-,-,-,-,प्रतिष्ठित_है,3.15.JO_son_of_Prtha_(Arjuna),-,चर्त्व-सन्धिः (खरि च (8।4।55)) / रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),LGLG
3.15.Aपार्थ,3.15.Bपार्थ,3.15.Cपार्थ{पुं}{8;एक},3.15.Dपार्थ{पुं}{8;एक},3.15.E-,3.15.F-,3.15.Gसम्बोध्यः 8,3.15.H-,3.15.Iहे_पार्थ,he_who,-,-,5.3.MLGGG
यः,यः,यद्{पुं}{1;एक},यद्{पुं}{1;एक},-,-,सम्बन्धः 9,-,जो_(पुरुष),in_this_(world),-,5.3.L-,G
इह,-,इह{अव्य},इह{अव्य},-,-,अधिकरणम् 8,-,यहाँ_(इस_लोक_में),thus,5.2.K-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),L
एवम्,एवं,एवम्{अव्य},एवम्{अव्य},-,-,क्रियाविशेषणम् 5,-,इस_प्रकार,prescribed,-,-,GL
प्रवर्तितम्,प्रवर्तितं,प्रवर्तित{पुं}{2;एक}/प्रवर्तित{नपुं}{1;एक}/प्रवर्तित{नपुं}{2;एक},प्र_वृत्{कृत्_प्रत्ययः:क्त;प्र_वृतुँ;भ्वादिः;नपुं}{2;एक},-,-,विशेषणम् 6,-,प्रचलित,the_wheel_of_creation,-,-,L
चक्रम्,चक्रं,चक्र{पुं}{2;एक}/चक्र{नपुं}{1;एक}/चक्र{नपुं}{2;एक},चक्र{नपुं}{2;एक},-,-,कर्म 8,-,सृष्टिचक्र_के,does_not,-,-,GLL
न,नानुवर्तयतीह,न{अव्य},न{अव्य},-,-,सम्बन्धः 8,-,नहीं,follow,-,-,L
अनुवर्तयति,-,अनुवर्तयति,अनु_वृत्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अनु_वृतुँ;भ्वादिः},-,-,प्रतियोगी 2,-,अनुकूल_बरतता,he,-,विसर्गलोप-सन्धिः (एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6।1।132)),GLGGG
सः,स,तद्{पुं}{1;एक},तद्{पुं}{1;एक},-,-,अनुयोगी 13,-,वह,leading_a_sinful_and_sensual_life,5.3.K-,-,GG
इन्द्रिय-आरामः,-,इन्द्रिय-आराम{पुं}{1;एक},इन्द्रिय-आराम{पुं}{1;एक},<इन्द्रिय-आरामः>Bs6,इन्द्रियैः आरामः यस्य सः = इन्द्रियारामः,विशेषणम् 11,-,इन्द्रियों_के_द्वारा_भोगों_में_रमण_करनेवाला,sinner,-,-,L
अघ-आयुः,अघायुरिन्द्रियारामो,अघायु{पुं}{1;एक},अघायुस्{पुं}{1;एक},<अघ-आयुः>Bs6,अघाय आयुः यस्य सः = अघायुः,कर्ता 13,-,पापायु,in_vain,-,-,GGG
मोघम्,मोघं,मोघ{पुं}{2;एक}/मोघ{नपुं}{1;एक}/मोघ{नपुं}{2;एक},मोघ{नपुं}{2;एक},-,-,क्रियाविशेषणम् 13,-,व्यर्थ,lives,-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),LG
जीवति,जीवति,जीवत्{पुं}{7;एक}/जीवत्{नपुं}{7;एक}/जीव्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;जीवँ;भ्वादिः},जीव्{कर्तरि;लट्;प्र;एक;परस्मैपदी;जीवँ;भ्वादिः},-,-,-,-,जीता_है,3.16.Jhowever,-,-,GGGGLG
3.16.Aतु,3.16.B-,3.16.Cतु{अव्य},3.16.Dतु{अव्य},3.16.E-,3.16.F-,3.16.G-,3.16.H-,3.16.Iपरंतु,he_who,-,जश्त्व-चर्त्व-सन्धिः (झलां जशोऽन्ते (8।2।39)-खरि च (8।4।55)),5.4.MGLGG
यः,यस्त्वात्मरतिरेव,यद्{पुं}{1;एक},यद्{पुं}{1;एक},-,-,विशेषणम् 3,-,जो,a_man,-,5.4.L-,LGGG
मानवः,मानवः,मानव{पुं}{1;एक},मानव{पुं}{1;एक},-,-,कर्ता 12,-,मनुष्य,takes_delight_in_the_Self,सन्न्यासः अस्यास्तीति सन्न्यासी सन्न्यासवान् एव ज्ञेयः,जश्त्व-सन्धिः (झलां जश् झशि (8।4।53)),LLGL
आत्म-रतिः,-,आत्मन्-रति{स्त्री}{1;एक},आत्मन्-रति{स्त्री}{1;एक},<आत्म-रतिः>Bs6,आत्मनि एव रतिः यस्य सः = आत्मरतिः,समुच्चितम् 6,-,आत्मा_में_रमण_करनेवाला,alone,-,-,L
एव,-,एव{अव्य},एव{अव्य},-,-,सम्बन्धः 4,-,ही,and,-,-,GLG
च,-,च{अव्य},च{अव्य},-,-,कर्तृसमानाधिकरणम् 12,-,और,gratified_with_the_Self,-,-,GGGGLG
आत्म-तृप्तः,-,आत्मन्-तृप्त{पुं}{1;एक},आत्मन्-तृप्त{पुं}{1;एक},<आत्म-तृप्तः>T7,आत्मनि तृप्तः = आत्मतृप्तः,समुच्चितम् 6,-,आत्मा_में_ही_तृप्त,and,-,यण्-सन्धिः (इको यणचि (6।1।77)),GLLLGGLG
च,च,च{अव्य},च{अव्य},-,-,-,-,तथा,in_the_Self,-,जश्त्व-सन्धिः (झलां जशोऽन्ते (8।2।39)) / रेफ-सन्धिः (ससजुषो रुः (8।2।66)),LL
आत्मनि,आत्मन्येव,आत्मन्{पुं}{7;एक},आत्मन्{पुं}{7;एक},-,-,अधिकरणम् 11,-,आत्मा_में,only,5.4.K-,-,GGG
एव,-,एव{अव्य},एव{अव्य},-,-,सम्बन्धः 9,-,ही,contented,-,चर्त्व-सन्धिः (खरि च (8।4।55)),GG
सन्तुष्टः,सन्तुष्टस्तस्य,सन्तुष्ट{पुं}{1;एक},सम्_तुष्{कृत्_प्रत्ययः:क्त;सम्_तुषँ;दिवादिः;पुं}{1;एक},-,-,समुच्चितम् 6,-,संतुष्ट,is,-,-,GLG
स्यात्,स्यादात्मतृप्तश्च,अस्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;अदादिः},अस्{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;असँ;अदादिः},-,-,-,-,हो,for_him,-,-,GGGLL
तस्य,-,तद्{पुं}{6;एक}/तद्{नपुं}{6;एक},तद्{पुं}{6;एक},-,-,षष्ठीसम्बन्धः 14,-,उसके_लिये,duty,-,जश्त्व-सन्धिः (झलां जशोऽन्ते (8।2।39)) / रेफ-सन्धिः (ससजुषो रुः (8।2।66)),GLG
कार्यम्,कार्यं,कार्य{नपुं}{2;एक},कार्य{नपुं}{1;एक},-,-,कर्ता 16,-,कोई_कर्तव्य,no,-,-,G
न,न,न{अव्य},न{अव्य},-,-,सम्बन्धः 16,-,नहीं,has,-,-,GG
विद्यते,विद्यते,विद्यता{स्त्री}{1;द्वि}/विद्यता{स्त्री}{2;द्वि}/विद्यता{स्त्री}{8;एक}/विद्यता{स्त्री}{8;द्वि}/विद्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;विदँ;अदादिः}/विद्2{कर्तरि;लट्;प्र;एक;आत्मनेपदी;विदँ;दिवादिः}/विद्2{भावे;लट्;प्र;एक;आत्मनेपदी;विदँ;दिवादिः}/विद्4{कर्मणि;लट्;प्र;एक;आत्मनेपदी;विदँ;रुधादिः}/विद्3{कर्मणि;लट्;प्र;एक;आत्मनेपदी;विदॢँ;तुदादिः},विद्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;विदँ;दिवादिः},-,-,-,-,है,3.17.Jthat_(great_soul),-,-,L
3.17.Aतस्य,3.17.Bतस्य,3.17.Cतद्{पुं}{6;एक}/तद्{नपुं}{6;एक},3.17.Dतद्{पुं}{6;एक},3.17.E-,3.17.F-,3.17.Gषष्ठीसम्बन्धः 6,3.17.H-,3.17.Iउसका_(महापुरुष_का),in_this_(world),5.5.Kसाङ्ख्यं एषां अस्तीति साङ्ख्याः ज्ञानिनः तैः,-,GG
इह,-,इह{अव्य},इह{अव्य},-,-,अधिकरणम् 7,-,यहाँ_(इस_विश्व_में),no,-,-,GG
न,नैव,न{अव्य},न{अव्य},-,-,सम्बन्धः 4,-,न,by_action,-,-,GLL
कृतेन,कृतेनार्थो,कृत{पुं}{3;एक}/कृत{नपुं}{3;एक},कृत{नपुं}{3;एक},-,-,करणम् 7,-,कर्म_करने_से,whatever,-,-,L
कश्चन,कश्चन,किञ्चन{पुं}{1;एक},किञ्चन{पुं}{1;एक},-,-,विशेषणम् 6,-,कोई,to_gain,योगं एषां अस्तीति योगाः कर्मयोगिनः तैः,विसर्गलोप-सन्धिः (एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6।1।132)),L
अर्थः,-,अर्थ{पुं}{1;एक},अर्थ{पुं}{1;एक},-,-,कर्ता 7,-,प्रयोजन,is,-,-,GLL
(अस्ति),-,(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},-,-,-,-,(रहता_है),nor,-,-,LGGG
न,नाकृतेनेह,न{अव्य},न{अव्य},-,-,सम्बन्धः 9,-,न,by_abstaining_from_action,-,-,GGGL
अ-कृतेन,-,अ-कृत{पुं}{3;एक}/कृत{नपुं}{3;एक}/कृ1{कृत्_प्रत्ययः:क्त;कृञ्;भ्वादिः;नपुं}{3;एक}/कृत{नपुं}{3;एक}/कृ2{कृत्_प्रत्ययः:क्त;कृञ्;स्वादिः;नपुं}{3;एक}/कृत{नपुं}{3;एक}/कृ3{कृत्_प्रत्ययः:क्त;डुकृञ्;तनादिः;नपुं}{3;एक}/कृत{नपुं}{3;एक},न-कृत{नपुं}{3;एक},<न-कृतेन>Tn,न कृतम् = अकृतम् तेन अकृतेन,करणम् 13,-,कर्मों_के_न_करने_से,certainly,-,सत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)),GGGGLGLG
एव,-,एव{अव्य},एव{अव्य},-,-,सम्बन्धः 9,-,ही,whatever,-,-,LGGL
(कश्चन),-,(किञ्चन{पुं}{1;एक}),(किञ्चन){पुं}{1;एक},-,-,विशेषणम् 12,-,(कोई),to_gain,-,रेफ-सन्धिः (ससजुषो रुः (8।2।66)),GLGG
(अर्थः),-,(अर्थ{पुं}{1;एक}),(अर्थ){पुं}{1;एक},-,-,कर्ता 13,-,(प्रयोजन),is,-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),LLGGLGLL
(अस्ति),-,(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},-,-,-,-,(रहता_है),and,-,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),5.7.MLLGG
च,चास्य,च{अव्य},च{अव्य},-,-,-,-,तथा,on_any_creature,-,5.7.L-,LGLG
सर्व-भूतेषु,सर्वभूतेषु,सर्व-भूत{पुं}{7;बहु}/भूत{नपुं}{7;बहु},सर्व-भूत{नपुं}{7;बहु},<सर्व-भूतेषु>K1,सर्वाणि च तानि भूतानि = सर्वभूतानि तेषु सर्वभूतेषु,अधिकरणम् 20,-,सम्पूर्ण_प्राणियों_में,of_his,-,-,LGGG
अस्य,-,इदम्{पुं}{6;एक}/इदम्{नपुं}{6;एक}/अस्3{कर्तरि;लोट्;म;एक;परस्मैपदी;असुँ;दिवादिः},इदम्{पुं}{6;एक},-,-,षष्ठीसम्बऩ्धः 18,-,इसका,of_any_kind,-,-,GLGGLGGG
कश्चित्,कश्चिदर्थव्यपाश्रयः,कश्चित्{अव्य}/किञ्चित्{पुं}{1;एक},किञ्चित्{पुं}{1;एक},-,-,विशेषणम् 18,-,किंचिन्मात्र_भी,selfish_dependence,-,-,GLGG
अर्थ-व्यपाश्रयः,-,अर्थ-व्यपाश्रय{पुं}{1;एक},अर्थ-व्यपाश्रय{पुं}{1;एक},<अर्थ-व्यपाश्रयः>T7,अर्थे व्यपाश्रयः = अर्थव्यपाश्रयः,कर्ता 20,-,स्वार्थ_का_सम्बन्ध,not,-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),GGLL
न,न,न{अव्य},न{अव्य},-,-,सम्बन्धः 20,-,नहीं,has,-,ङमुडागम-सन्धिः (ङमो ह्रस्वादचि ङमुण्नित्यम् (8।3।32)),L
(भवति),-,(भवत्{पुं}{7;एक}/भवती{स्त्री}{8;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}),(भू){कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः},-,-,-,-,(रहता),3.18.Jtherefore,-,-,GLG
3.18.Aतस्मात्,3.18.Bतस्मादसक्तः,3.18.Cतस्मात्{अव्य}/तद्{पुं}{5;एक}/तद्{नपुं}{5;एक},3.18.Dतद्{नपुं}{5;एक},3.18.E-,3.18.F-,3.18.Gहेतुः 7,3.18.H-,3.18.Iइसलिये,constantly,-,-,5.8.MGLL
सततम्,सततं,सततम्{अव्य}/सतत{पुं}{2;एक}/सतत{नपुं}{1;एक}/सतत{नपुं}{2;एक},सततम्{अव्य},-,-,क्रियाविशेषणम् 3,-,निरन्तर,without_attachment,-,5.8.L-,GG
अ-सक्तः,-,अ-सक्त{पुं}{1;एक},असक्त{पुं}{1;एक},<न-सक्तः>Tn,न सक्तः = असक्तः,विशेषणम् 4,-,आसक्ति_से_रहित_होकर,you,5.7.K-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),GGGGLGGGGGGGLGLL
(त्वम्),-,(युष्मद्{1;एक}),(युष्मद्){1;एक},-,-,कर्ता 7,-,(तू),as_duty,-,श्चुत्व-सन्धिः (स्तोः श्चुना श्चुः (8।4।40)) / श्चुत्व-सन्धिः (स्तोः श्चुना श्चुः (8।4।40)) / ङमुडागम-सन्धिः (ङमो ह्रस्वादचि ङमुण्नित्यम् (8।3।32)) / श्चुत्व-सन्धिः (स्तोः श्चुना श्चुः (8।4।40)),LLGLLGGGGLGGLGLL
कार्यम्,कार्यं,कार्य{नपुं}{2;एक},कार्य{नपुं}{2;एक},-,-,विशेषणम् 6,-,कर्तव्य,work,-,ङमुडागम-सन्धिः (ङमो ह्रस्वादचि ङमुण्नित्यम् (8।3।32)) / ङमुडागम-सन्धिः (ङमो ह्रस्वादचि ङमुण्नित्यम् (8।3।32)),GLGGLGGGL
कर्म,कर्म,कर्मन्{नपुं}{1;एक}/कर्मन्{नपुं}{2;एक},कर्मन्{नपुं}{2;एक},-,-,कर्म 7,-,कर्म_को,perform,-,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),GGL
समाचर,समाचर,सम्_आङ्_चर्1{कर्तरि;लोट्;म;एक;परस्मैपदी;सम्_आङ्_चर1;भ्वादिः},सम्_आङ्_चर्{कर्तरि;लोट्;म;एक;परस्मैपदी;सम्_आङ्_चरँ;भ्वादिः},-,-,-,-,भलीभाँति_करता_रह,certainly,-,यान्तवान्त-सन्धिः-लोप-सन्धिः (एचोऽयवायावः (6।1।78)-लोपः शाकल्यस्य (8।3।19)),LL
हि,ह्याचरन्कर्म,हि{अव्य},हि{अव्य},-,-,-,-,क्योंकि,nonattached,-,-,GLL
अ-सक्तः,असक्तो,अ-सक्त{पुं}{1;एक},असक्त{पुं}{1;एक},<न-सक्तः>Tn,न सक्तः = असक्तः,विशेषणम् 10,-,आसक्ति_से_रहित_होकर,work,-,-,GGL
कर्म,-,कर्मन्{नपुं}{1;एक}/कर्मन्{नपुं}{2;एक},कर्मन्{नपुं}{2;एक},-,-,कर्म 11,-,कर्म,performing,-,-,GGLGGL
आचरन्,-,आङ्_चर्1{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;चरँ;भ्वादिः},आङ्_चर्{कर्तरि;लङ्;प्र;बहु;परस्मैपदी;आङ्_चरँ;भ्वादिः},-,-,समानकालः 14,-,करता_हुआ,a_man,5.8.K-,चर्त्व-सन्धिः (खरि च (8।4।55)) / सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),GL
पूरुषः,पूरुषः,पूरुष{पुं}{1;एक},पूरुष{पुं}{1;एक},-,-,कर्ता 14,-,मनुष्य,the_Supreme,-,वृद्धि-सन्धिः (वृद्धिरेचि (6।1।88)),5.9.MG
परम्,परमाप्नोति,परम्{अव्य}/पर{पुं}{2;एक}/पर{नपुं}{1;एक}/पर{नपुं}{2;एक}/पर{पुं}{2;एक}/पर{नपुं}{1;एक}/पर{नपुं}{2;एक},पर{नपुं}{2;एक},-,-,कर्म 14,-,परमात्मा_को,achieves,-,5.9.L-,GGL
आप्नोति,-,आप्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;आपॢँ;स्वादिः},आप्{कर्तरि;लट्;प्र;एक;परस्मैपदी;आपॢँ;स्वादिः},-,-,-,-,प्राप्त_हो_जाता_है,3.19.JJanaka_and_other_kings,-,-,GGGGL
3.19.Aजनक-आदयः,3.19.Bजनकादयः,3.19.Cजनक-आदि{पुं}{1;बहु}/आदि{पुं}{8;बहु},3.19.Dजनक-आदि{पुं}{1;बहु},3.19.E<जनक-आदयः>Bs6,3.19.Fजनकः आदि यस्य सः = जनकादिः ते जनकादयः,3.19.Gकर्ता 5,3.19.H-,3.19.Iजनकादि_ज्ञानीजन_भी,by_work,-,यण्-सन्धिः (इको यणचि (6।1।77)),GG
कर्मणा,कर्मणैव,कर्मन्{नपुं}{3;एक},कर्मन्{नपुं}{3;एक},-,-,करणम् 5,-,कर्म_द्वारा,even,-,-,GG
एव,-,एव{अव्य},एव{अव्य},-,-,सम्बन्धः 2,-,ही,perfection,-,-,LGL
संसिद्धिम्,संसिद्धिमास्थिता,संसिद्धि{स्त्री}{2;एक},संसिद्धि{स्त्री}{2;एक},-,-,कर्म 5,-,परमसिद्धि_को,situated,-,-,L
आस्थिताः,-,आस्थित{पुं}{1;बहु}/आस्थित{पुं}{8;बहु}/आस्थिता{स्त्री}{1;बहु}/आस्थिता{स्त्री}{2;बहु}/आस्थिता{स्त्री}{8;बहु},आङ्_स्था{कृत्_प्रत्ययः:क्त;आङ्_ष्ठा;भ्वादिः;पुं}{1;बहु},-,-,-,-,प्राप्त_हुए_थे,certainly,-,विसर्गलोप-सन्धिः (एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6।1।132)),GLGGLGLG
हि,हि,हि{अव्य},हि{अव्य},-,-,-,-,इसलिये,educating_the_people_in_general,-,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),GGL
लोक-सङ्ग्रहम्,लोकसङ्ग्रहमेवापि,लोक-सङ्ग्रह{पुं}{2;एक},लोक-सङ्ग्रह{पुं}{2;एक},<लोक-सङ्ग्रहम्>T6,लोकानां सङ्ग्रहः = लोकसङ्ग्रहः तम् लोकसङ्ग्रहम्,कर्म 8,-,लोकसंग्रह_को,by_considering,-,-,L
