chaptno,slokano,spart1,spart2
03,064,ततो निषङ्गादसमग्रमुद्धृतं सुवर्णपुङ्खद्युतिरञ्जिताङ्गुलिम्।,नरेन्द्रसूनुः प्रतिसंहरन्निषुं प्रियंवदः प्रत्यवदत्सुरेश्वरम्॥
03,065,अमोच्यमश्वं यदि मन्यसे प्रभो ततः समाप्ते विधिनैव कर्मणि।,अजस्रदीक्षाप्रयतः स मद्गुरुः क्रतोरशेषेण फलेन युज्यताम्॥
03,066,यथा स वृत्तान्तमिमं सदोगतस्त्रिलोचनैकांशतया दुरासदः।,तवैव संदेशहराद्विशांपतिः शृणोति लोकेश तथा विधीयताम्॥
03,067,तथेति कामं प्रतिशुश्रुवान्रघोर्यथागतं मातलिसारथिर्ययौ।,नृपस्य नातिप्रमनाः सदोगृहं सुदक्षिणासूनुरपि न्यवर्तत॥
03,068,तमभ्यनन्दत्प्रथमं प्रबोधितः प्रजेश्वरः शासनहारिणा हरेः।,परामृशन्हर्षजडेन पाणिना तदीयमङ्गं कुलिशव्रणाङ्कितम्॥
03,069,इति क्षितीशो नवतिं नवाधिकां महाक्रतूनां महनीयशासनः।,समारुरुक्षुर्दिवमायुषः क्षये ततान सोपानपरम्परामिव॥
03,070,अथ स विषयव्यावृत्तात्मा यथाविधि सूनवे नृपतिककुदं दत्त्वा यूने सितातपवारणम्।,मुनिवनतरुच्छायां देव्या तया सह शिश्रिये गलितवयसामिक्ष्वाकूणामिदं हि कुलव्रतम्॥
04,001,स राज्यं गुरुणा दत्तं प्रतिपद्याधिकं बभौ।,दिनान्ते निहितं तेजः सवित्रेव हुताशनः॥
04,002,दिलीपानन्तरं राज्ये तं निशम्य प्रतिष्ठितम्।,पूर्वं प्रधूमितो राज्ञां हृदयेऽग्निरिवोत्थितः॥
04,003,पुरुहूतध्वजस्येव तस्योन्नयनपङ्क्तयः।,नवाभ्युत्थानदर्शिन्यो ननन्दुः सप्रजाः प्रजाः॥
04,004,सममेव समाक्रान्तं द्वयं द्विरदगामिना।,तेन सिंहासनं पित्र्यमखिलं चारिमण्डलम्॥
04,005,छायामण्डललक्ष्येण तमदृश्या किल स्वयम्।,पद्मा पद्मातपत्रेण भेजे साम्राज्यदीक्षितम्॥
04,006,परिकल्पितसांनिध्या काले काले च बन्दिषु।,स्तुत्यं स्तुतिभिरर्थ्याभिरुपतस्थे सरस्वती॥
04,007,मनुप्रभृतिभिर्मान्यैर्भुक्ता यद्यपि राजभिः।,तथाप्यनन्यपूर्वेव तस्मिन्नासीद्वसुन्धरा॥
04,008,स हि सर्वस्य लोकस्य युक्तदण्डतया मनः।,आददे नातिशीतोष्णो नभस्वानिव दक्षिणः॥
04,009,मन्दोत्कण्ठाः कृतास्तेन गुणाधिकतया गुरौ।,फलेन सहकारस्य पुष्पोद्गम इव प्रजाः॥
04,010,नयविद्भिर्नवे राज्ञि सदसच्चोपदर्शितम्।,पूर्व एवाभवत्पक्षस्तस्मिन्नाभवदुत्तरः॥
04,011,पञ्चानामपि भूतानामुत्कर्षं पुपुषुर्गुणाः।,नवे तस्मिन्महीपाले सर्वं नवमिवाभवत्॥
04,012,यथा प्रह्लादनाच्चन्द्रः प्रतापात्तपनो यथा।,तथैव सोऽभूदन्वर्थो राजा प्रकृतिरञ्जनात्॥
04,013,कामं कर्णान्तविश्रान्ते विशाले तस्य लोचने।,चक्षुष्मत्ता तु शास्त्रेण सूक्ष्मकार्यार्थदर्शिना॥
04,014,लब्धप्रशमनस्वस्थमथैनं समुपस्थिता।,पार्थिवश्रीर्द्वितीयेव शरत्पङ्कजलक्षणा॥
04,015,निर्वृष्टलघुभिर्मेघैर्मुक्तवर्त्मा सुदुःसहः।,प्रतापस्तस्य भानोश्च युगपद्व्यानशे दिशः॥
04,016,वार्षिकं संजहारेन्द्रो धनुर्जैत्रं रघुर्दधौ।,प्रजार्थसाधने तौ हि पर्यायोद्यतकार्मुकौ॥
04,017,पुण्डरीकातपत्रस्तं विकसत्काशचामरः।,ऋतुर्विडम्बयामास न पुनः प्राप तच्छ्रियम्॥
04,018,प्रसादसुमुखे तस्मिंश्चन्द्रे च विशदप्रभे।,तदा चक्षुष्मतां प्रीतिरासीत्समरसा द्वयोः॥
04,019,हंसश्रेणीषु तारासु कुमुद्वत्सु च वारिषु।,विभूतयस्तदीयानां पर्यस्ता यशसामिव॥
04,020,इक्षुच्छायनिषादिन्यस्तस्य गोप्तुर्गुणोदयम्।,आकुमारकथोद्धातं शालिगोप्यो जगुर्यशः॥
04,021,प्रससादोदयादम्भः कुम्भयोनेर्महौजसः।,रघोरभिभवाशङ्कि चुक्षुभे द्विषतां मनः॥
04,022,मदोदग्राः ककुद्मन्तः सरितां कूलमुद्रुजाः।,लीलाखेलमनुप्रापुर्महोक्षास्तस्य विक्रमम्॥
04,023,प्रसवैः सप्तपर्णानां मदगन्धिभिराहताः।,असूययेव तन्नागाः सप्तधैव प्रसुस्रुवुः॥
04,024,सरितः कुर्वती गाधाः पथश्चाश्यानकर्दमान्।,यात्रायै चोदयामास तं शक्तेः प्रथमं शरत्॥
04,025,तस्मै सम्यग्घुतो वह्निर्वाजिनीराजनाविधौ।,प्रदक्षिणार्चिर्व्याजेन हस्तेनेव जयं ददौ॥
04,026,स गुप्तमूलप्रत्यन्तः शुद्धपार्ष्णिरयान्वितः।,षड्विधं बलमादाय प्रतस्थे दिग्जिगीषया॥
04,027,अवाकिरन्वयोवृद्धास्तं लाजैः पौरयोषितः।,पृषतैर्मन्दरोद्धूतैः क्षीरोर्मय इवाच्युतम्॥
04,028,स ययौ प्रथमं प्राचीं तुल्यः प्राचीनबर्हिषा।,अहिताननिलोद्धूतैस्तर्जयन्निव केतुभिः॥
04,029,रजोभिः स्यन्दनोद्धूतैर्गजैश्च घनसंनिभैः।,भुवस्तलमिव व्योम कुर्वन्व्योमेव भूतलम्॥
04,030,प्रतापोऽग्रे ततः शब्दः परागस्तदनन्तरम्।,ययौ पश्चाद्रथादीति चतुःस्कन्धेव सा चमूः॥
04,031,मरुपृष्ठान्युदम्भांसि नाव्याः सुप्रतरा नदीः।,विपिनानि प्रकाशानि शक्तिमत्त्वाच्चकार सः॥
04,032,स सेनां महतीं कर्षन्पूर्वसागरगामिनीम्।,बभौ हरजटाभ्रष्टां गङ्गामिव भगीरथः॥
04,033,त्याजितैः फलमुत्खातैर्भग्नैश्च बहुधा नृपैः।,तस्यासीदुल्बणो मार्गः पादपैरिव दन्तिनः॥
04,034,पौरस्त्यानेवमाक्रामंस्तांस्ताञ्जनपदाञ्जयी।,प्राप तालीवनश्याममुपकण्ठं महोदधेः॥
04,035,अनम्राणां समुद्धर्तुस्तस्मात्सिन्धुरयादिव।,आत्मा संरक्षितः सुह्मैर्वृत्तिमाश्रित्य वैतसीम्॥
04,036,वङ्गानुत्खाय तरसा नेता नौसाधनोद्यतान्।,निचखान जयस्तम्भान्गङ्गास्रोतोन्तरेषु सः॥
04,037,आपादपद्मप्रणताः कलमा इव ते रघुम्।,फलैः संवर्धयामासुरुत्खातप्रतिरोपिताः॥
04,038,स तीर्त्वा कपिशां सैन्यैर्बद्धद्विरदसेतुभिः।,उत्कलादर्शितपथः कलिङ्गाभिमुखो ययौ॥
04,039,स प्रतापं महेन्द्रस्य मूर्ध्नि तीक्ष्णं न्यवेशयत्।,अङ्कुशं द्विरदस्येव यन्ता गम्भीरवेदिनः॥
04,040,प्रतिजग्राह कालिङ्गस्तमस्त्रैर्गजसाधनः।,पक्षच्छेदोद्यतं शक्रं शिलावर्षीव पर्वतः॥
04,041,द्विषां विषह्य काकुत्स्थस्तत्र नाराचदुर्दिनम्।,सन्मङ्गलस्नात इव प्रतिपेदे जयश्रियम्॥
04,042,ताम्बूलीनां दलैस्तत्र रचितापानभूमयः।,नारिकेलासवं योधाः शात्रवं च पपुर्यशः॥
04,043,गृहीतप्रतिमुक्तस्य स धर्मविजयी नृपः।,श्रियं महेन्द्रनाथस्य जहार न तु मेदिनीम्॥
04,044,ततो वेलातटेनैव फलवत्पूगमालिना।,अगस्त्याचरितामाशामनाशास्यजयो ययौ॥
04,045,स सैन्यपरिभोगेण गजदानसुगन्धिना।,कावेरीं सरितां पत्युः शङ्कनीयामिवाकरोत्॥
04,046,बलैरध्युषितास्तस्य विजिगीषोर्गताध्वनः।,मारीचोद्भ्रान्तहारीता मलयाद्रेरुपत्यकाः॥
04,047,ससञ्जुरश्वक्षुण्णानामेलानामुत्पतिष्णवः।,तुल्यगन्धिषु मत्तेभकटेषु फलरेणवः॥
04,048,भोगिवेष्टनमार्गेषु चन्दनानां समर्पितम्।,नास्रसत्करिणां ग्रैवं त्रिपदीच्छेदिनामपि॥
04,049,दिशि मन्दायते तेजो दक्षिणस्यां रवेरपि।,तस्यामेव रघोः पाण्ड्याः प्रतापं न विषेहिरे॥
04,050,ताम्रपर्णीसमेतस्य मुक्तासारं महोदधेः।,ते निपत्य ददुस्तस्मै यशः स्वमिव संचितम्॥
04,051,स निर्विश्य यथाकामं तटेष्वालीनचन्दनौ।,स्तनाविव दिशस्तस्याः शैलौ मलयदर्दुरौ॥
04,052,असह्यविक्रमः सह्यं दूरान्मुक्तमुदन्वता।,नितम्बमिव मेदिन्याः स्रस्तांशुकमलङ्घयत्॥
04,053,तस्यानीकैर्विसर्पद्भिरपरान्तजयोद्यतैः।,रामास्त्रोत्सारितोऽप्यासीत्सह्यलग्न इवार्णवः॥
04,054,भयोत्सृष्टविभूषाणां तेन केरलयोषिताम्।,अलकेषु चमूरेणुश्चूर्णप्रतिनिधीकृतः॥
04,055,मुरलामारुतोद्धूतमगमत्कैतकं रजः।,तद्योधवारबाणानामयत्नपटवासताम्॥
04,056,अभ्यभूयत वाहानां चरतां गात्रशिञ्जितैः।,वर्मभिः पवनोद्धूतराजतालीवनध्वनिः॥
04,057,खर्जूरीस्कन्धनद्धानां मदोद्गारसुगन्धिषु।,कटेषु करिणां पेतुः पुंनागेभ्यः शिलीमुखाः॥
04,058,अवकाशं किलोदन्वान् रामायाभ्यर्थितो ददौ।,अपरान्तमहीपालव्याजेन रघवे करम्॥
04,059,मत्तेभरदनोत्कीर्णव्यक्तविक्रमलक्षणम्।,त्रिकूटमेव तत्रोच्चैर्जयस्तम्भं चकार सः॥
04,060,पारसीकांस्ततो जेतुं प्रतस्थे स्थलवर्त्मना।,इन्द्रियाख्यानिव रिपूंस्तत्त्वज्ञानेन संयमी॥
04,061,यवनीमुखपद्मानां सेहे मधुमदं न सः।,बालातपमिवाब्जनामकालजलदोदयः॥
04,062,सङ्ग्रामस्तुमुलस्तस्य पाश्चात्यैरश्वसाधनैः।,शार्ङ्गकूजितविज्ञेयप्रतियोधे रजस्यभूत्॥
04,063,भल्लापवर्जितैस्तेषां शिरोभिः श्मश्रुलैर्महीम्।,तस्तार सरघाव्याप्तैः स क्षौद्रपटलैरिव॥
04,064,अपनीतशिरस्त्राणाः शेषास्तं शरणं ययुः।,प्रणिपातप्रतीकारः संरम्भो हि महात्मनाम्॥
04,065,विनयन्ते स्म तद्योधा मधुभिर्विजयश्रमम्।,आस्तीर्णाजिनरत्नासु द्राक्षावलयभूमिषु॥
04,066,ततः प्रतस्थे कौबेरीं भास्वानिव रघुर्दिशम्।,शरैरुस्रैरिवोदीच्यानुद्धरिष्यन् रसानिव॥
04,067,विनीताध्वश्रमास्तस्य सिन्धुतीरविचेष्टनैः।,दुधुवुर्वाजिनः स्कन्धाँल्लग्नकुङ्कुमकेसरान्॥
04,068,तत्र हूणावरोधानां भर्तृषु व्यक्तविक्रमम्।,कपोलपाटलादेशि बभूव रघुचेष्टितम्॥
04,069,काम्बोजाः समरे सोढुं तस्य वीर्यमनीश्वराः।,गजालानपरिक्लिष्टैरक्षोटैः सार्धमानताः॥
04,070,तेषां सदश्वभूयिष्ठास्तुङ्गा द्रविणराशयः।,उपदा विविशुः शश्वन्नोत्सेकाः कोसलेश्वरम्॥
04,071,ततो गौरीगुरुं शैलमारुरोहाश्वसाधनः।,वर्धयन्निव तत्कूटानुद्धूतैर्धातुरेणुभिः॥
04,072,शशंस तुल्यसत्त्वानां सैन्यघोषेऽप्यसंभ्रमम्।,गुहाशयानां सिंहानां परिवृत्यावलोकितम्॥
04,073,भूर्जेषु मर्मरीभूताः कीचकध्वनिहेतवः।,गङ्गाशीकरिणो मार्गे मरुतस्तं सिषेविरे॥
04,074,विशश्रमुर्नमेरूणां छायास्वध्यास्य सैनिकाः।,दृषदो वासितोत्सङ्गा निषण्णमृगनाभिभिः॥
04,075,सरलासक्तमातङ्गग्रैवेयस्फुरितत्विषः।,आसन्नोषधयो नेतुर्नक्तमस्नेहदीपिकाः॥
04,076,तस्योत्सृष्टनिवासेषु कण्ठरज्जुक्षतत्वचः।,गजवर्ष्म किरातेभ्यः शशंसुर्देवदारवः॥
04,077,तत्र जन्यं रघोर्घोरं पर्वतीयैर्गणैरभूत्।,नाराचक्षेपणीयाश्मनिष्पेषोत्पतितानलम्॥
04,078,शरैरुत्सवसंकेतान्स कृत्वा विरतोत्सवान्।,जयोदाहरणं बाह्वोर्गापयामास किंनरान्॥
04,079,परस्परेण विज्ञातस्तेषूपायनपाणिषु।,राज्ञा हिमवतः सारो राज्ञः सारो हिमाद्रिणा॥
04,080,तत्राक्षोभ्यं यशोराशिं निवेश्यावरुरोह सः।,पौलस्त्यतुलितस्याद्रेरादधान इव ह्रियम्॥
04,081,चकम्पे तीर्णलौहित्ये तस्मिन्प्राग्ज्योतिषेश्वरः।,तद्गजालानतां प्राप्तैः सह कालागुरुद्रुमैः॥
04,082,न प्रसेहे स रुद्धार्कमधारावर्षदुर्दिनम्।,रथवर्त्मरजोऽप्यस्य कुत एव पताकिनीम्॥
04,083,तमीशः कामरूपाणामत्याखण्डलविक्रमम्।,भेजे भिन्नकटैर्नागैरन्यानुपरुरोध यैः॥
04,084,कामरूपेश्वरस्तस्य हेमपीठाधिदेवताम्।,रत्नपुष्पोपहारेण छायामानर्च पादयोः॥
04,085,इति जित्वा दिशो जिष्णुर्न्यवर्तत रथोद्धतम्।,रजो विश्रामयन्राज्ञां छत्रशून्येषु मौलिषु॥
04,086,स विश्वजितमाजह्रे यज्ञं सर्वस्वदक्षिणम्।,आदानं हि विसर्गाय सतां वारिमुचामिव॥
04,087,सत्रान्ते सचिवसखः पुरस्क्रियाभि-र्गुर्वीभिः शमितपराजयव्यलीकान्।,काकुत्स्थश्चिरविरहोत्सुकावरोधान् राजन्यान्स्वपुरनिवृत्तयेऽनुमेने॥
04,088,ते रेखाकुलिशातपत्रचिह्नं सम्राजश्चरणयुगं प्रसादलभ्यम्।,प्रस्थानप्रणतिभिरङ्गुलीषु चक्रु-र्मौलिस्रक्च्युतमकरन्दरेणुगौरम्॥
05,001,तमध्वरे विश्वजिति क्षितीशं निःशेषविश्राणितकोशजातम्।,उपात्तविद्यो गुरुदक्षिणार्थी कौत्सः प्रपेदे वरतन्तुशिष्यः॥
05,002,स मृण्मये वीतहिरण्मयत्वात्पात्रे निधायार्घ्यमनर्घशीलः।,श्रुतप्रकाशं यशसा प्रकाशः प्रत्युज्जगामातिथिमातिथेयः॥
05,003,तमर्चयित्वा विधिवद्विधिज्ञस्तपोधनं मानधनाग्रयायी।,विशांपतिर्विष्टरभाजमारात्कृताञ्जलिः कृत्यविदित्युवाच॥
05,004,अप्यग्रणीर्मन्त्रकृतामृषीणां कुशाग्रबुद्धे कुशली गुरुस्ते।,यतस्त्वया ज्ञानमशेषमाप्तं लोकेन चैतन्यमिवोष्णरश्मेः॥
05,005,कायेन वाचा मनसाऽपि शश्वद्यत्संभृतं वासवधैर्यलोपि।,आपाद्यते न व्ययमन्तरायैः कच्चिन्महर्षेस्त्रिविधं तपस्तत्॥
05,006,आधारबन्धप्रमुखैः प्रयत्नैः संवर्धितानां सुतनिर्विशेषम्।,कच्चिन्न वाय्वादिरुपप्लवो वः श्रमच्छिदामाश्रमपादपानाम्॥
05,007,क्रियानिमित्तेष्वपि वत्सलत्वादभग्नकामा मुनिभिः कुशेषु।,तदङ्कशय्याच्युतनाभिनाला कच्चिन्मृगीणामनघा प्रसूतिः॥
05,008,निर्वर्त्यते यैर्नियमाभिषेको येभ्यो निवापाञ्जलयः पितॄणाम्।,तान्युञ्छषष्ठाङ्कितसैकतानि शिवानि वस्तीर्थजलानि कच्चित्॥
05,009,नीवारपाकादि कडङ्गरीयैरामृश्यते जानपदैर्न कच्चित्।,कालोपपन्नातिथिकल्प्यभागं वन्यं शरीरस्थितिसाधनं वः॥
05,010,अपि प्रसन्नेन महर्षिणा त्वं सम्यग्विनीयानुमतो गृहाय।,कालो ह्ययं संक्रमितुं द्वितीयं सर्वोपकारक्षममाश्रमं ते॥
05,011,तवार्हतो नाभिगमेन तृप्तं मनो नियोगक्रिययोत्सुकं मे।,अप्याज्ञया शासितुरात्मना वा प्राप्तोऽसि संभावयितुं वनान्माम्॥
05,012,इत्यर्घ्यपात्रानुमितव्ययस्य रघोरुदारामपि गां निशम्य।,स्वार्थोपपत्तिं प्रति दुर्बलाशस्तमित्यवोचद्वरतन्तुशिष्यः॥
05,013,सर्वत्र नो वार्तमवेहि राजन्नाथे कुतस्त्वय्यशुभं प्रजानाम्।,सूर्ये तपत्यावरणाय दृष्टेः कल्पेत लोकस्य कथं तमिस्रा॥
05,014,भक्तिः प्रतीक्ष्येषु कुलोचिता ते पूर्वान्महाभाग तयातिशेषे।,व्यतीतकालस्त्वहमभ्युपेतस्त्वामर्थिभावादिति मे विषादः॥
05,015,शरीरमात्रेण नरेन्द्र तिष्ठन्नाभासि तीर्थप्रतिपादितर्द्धिः।,आरण्यकोपात्तफलप्रसूतिः स्तम्बेन नीवार इवावशिष्टः॥
05,016,स्थाने भवानेकनराधिपः सन्नकिञ्चनत्वं मखजं व्यनक्ति।,पर्यायपीतस्य सुरैर्हिमांशोः कलाक्षयः श्लाघ्यतरो हि वृद्धेः॥
05,017,तदन्यतस्तावदनन्यकार्यो गुर्वर्थमाहर्तुमहं यतिष्ये।,स्वस्त्यस्तु ते निर्गलिताम्बुगर्भं शरद्घनं नार्दति चातकोऽपि॥
05,018,एतावदुक्त्वा प्रतियातुकामं शिष्यं महर्षेर्नृपतिर्निषिध्य।,किं वस्तु विद्वन्गुरवे प्रदेयं त्वया कियद्वेति तमन्वयुङ्क्त॥
05,019,ततो यथावद्विहिताध्वराय तस्मै स्मयावेशविवर्जिताय।,वर्णाश्रमाणां गुरवे स वर्णी विचक्षणः प्रस्तुतमाचचक्षे॥
05,020,समाप्तविद्येन मया महर्षिर्विज्ञापितोऽभूद्गुरुदक्षिणायै।,स मे चिरायास्खलितोपचारां तां भक्तिमेवागणयत्पुरस्तात्॥
05,021,निर्बन्धसंजातरुषार्थकार्श्यमचिन्तयित्वा गुरुणाहमुक्तः।,वित्तस्य विद्यापरिसंख्यया मे कोटीश्चतस्रो दश चाहरेति॥
05,022,सोऽहं सपर्याविधिभाजनेन मत्वा भवन्तं प्रभुशब्दशेषम्।,अभ्युत्सहे संप्रति नोपरोद्धुमल्पेतरत्वाच्छ्रुतनिष्क्रयस्य॥
05,023,इत्थं द्विजेन द्विजराजकान्तिरावेदितो वेदविदां वरेण।,एनोनिवृत्तेन्द्रियवृत्तिरेनं जगाद भूयो जगदेकनाथः॥
05,024,गुर्वर्थमर्थी श्रुतपारदृश्वा रघोः सकाशादनवाप्य कामम्।,गतो वदान्यान्तरमित्ययं मे मा भूत्परीवादनवावतारः॥
05,025,स त्वं प्रशस्ते महिते मदीये वसंश्चतुर्थोऽग्निरिवाग्न्यगारे।,द्वित्राण्यहान्यर्हसि सोढुमर्हन् यावद्यते साधयितुं त्वदर्थम्॥
05,026,तथेति तस्यावितथं प्रतीतः प्रत्यग्रहीत्संगरमग्रजन्मा।,गामात्तसारां रघुरप्यवेक्ष्य निष्क्रष्टुमर्थं चकमे कुबेरात्॥
05,027,वसिष्ठमन्त्रोक्षणजात्प्रभावादुदन्वदाकाशमहीधरेषु।,मरुत्सखस्येव बलाहकस्य गतिर्विजघ्ने न हि तद्रथस्य॥
05,028,अथाधिशिश्ये प्रयतः प्रदोषे रथं रघुः कल्पितशस्त्रगर्भम्।,सामन्तसंभावनयैव धीरः कैलासनाथं तरसा जिगीषुः॥
05,029,प्रातः प्रयाणाभिमुखाय तस्मै सविस्मयाः कोषगृहे नियुक्ताः।,हिरण्मयीं कोषगृहस्य मध्ये वृष्टिं शशंसुः पतितां नभस्तः॥
05,030,स भूपतिर्भासुरहेमराशिं लब्धं कुबेरादभियास्यमानात्।,दिदेश कौत्साय समस्तमेव पादं सुमेरोरिव वज्रभिन्नम्॥
05,031,जनस्य साकेतनिवासिनस्तौ द्वावप्यभूतावभिनन्द्यसत्त्वौ।,गुरुप्रदेयाधिकनिःस्पृहोऽर्थी नृपोऽर्थिकामादधिकप्रदश्च॥
05,032,अथोष्ट्रवामीशतवाहितार्थं प्रजेश्वरं प्रीतमना महर्षिः।,स्पृशन्करेणानतपूर्वकायं संप्रस्थितो वाचमुवाच कौत्सः॥
05,033,किमत्र चित्रं यदि कामसूर्भूर्वृत्ते स्थितस्याधिपतेः प्रजानाम्।,अचिन्तनीयस्तु तव प्रभावो मनीषितं द्यौरपि येन दुग्धा॥
05,034,आशास्यमन्यत्पुनरुक्तभूतं श्रेयांसि सर्वाण्यधिजग्मुषस्ते।,पुत्रं लभस्वात्मगुणानुरूपं भवन्तमीड्यं भवतः पितेव॥
05,035,इत्थं प्रयुज्याशिषमग्रजन्मा राज्ञे प्रतीयाय गुरोः सकाशम्।,राजापि लेभे सुतमाशु तस्मादालोकमर्कादिव जीवलोकः॥
05,036,ब्राह्मे मुहूर्ते किल तस्य देवी कुमारकल्पं सुषुवे कुमारम्।,अतः पिता ब्रह्मण एव नाम्ना तमात्मजन्मानमजं चकार॥
05,037,रूपं तदोजस्वि तदेव वीर्यं तदेव नैसर्गिकमुन्नतत्वम्।,न कारणात्स्वाद्बिभिदे कुमारः प्रवर्तितो दीप इव प्रदीपात्॥
05,038,उपात्तविद्यं विधिवद्गुरुभ्यस्तं यौवनोद्भेदविशेषकान्तम्।,श्रीः साभिलाषापि गुरोरनुज्ञां धीरेव कन्या पितुराचकाङ्क्ष॥
05,039,अथेश्वरेण क्रथकैशिकानां स्वयंवरार्थं स्वसुरिन्दुमत्याः।,आप्तः कुमारानयनोत्सुकेन भोजेन दूतो रघवे विसृष्टः॥
05,040,तं श्लाघ्यसंबन्धमसौ विचिन्त्य दारक्रियायोग्यदश च पुत्रम्।,प्रस्थापयामास ससैन्यमेनमृद्धां विदर्भाधिपराजधानीम्॥
05,041,तस्योपकार्यारचितोपचारा वन्येतरा जानपदोपदाभिः।,मार्गे निवासा मनुजेन्द्रसूनोर्बभूवुरुद्यानविहारकल्पाः॥
05,042,स नर्मदारोधसि सीकरार्द्रैर्मरुद्भिरानर्तितनक्तमाले।,निवेशयामास विलङ्घिताध्वा क्लान्तं रजोधूसरकेतु सैन्यम्॥
05,043,अथोपरिष्टाद्भ्रमरैर्भ्रमद्भिः प्राक्सूचितान्तःसलिलप्रवेशः।,निर्धौतदानामलगण्डभित्तिर्वन्यः सरित्तो गज उन्ममज्ज॥
05,044,निःशेषविक्षालितधातुनापि वप्रक्रियामृक्षवतस्तटेषु।,नीलोर्ध्वरेखाशबलेन शंसन्दन्तद्वयेनाश्मविकुण्ठितेन॥
05,045,संहारविक्षेपलघुक्रियेण हस्तेन तीराभिमुखः सशब्दम्।,बभौ स भिन्दन्बृहतस्तरङ्गान्वार्यर्गलाभङ्ग इव प्रवृत्तः॥
05,046,शैलोपमः शैवलमञ्जरीणां जालानि कर्षन्नुरसा स पश्चात्।,पूर्वं तदुत्पीडितवारिराशिः सरित्प्रवाहस्तटमुत्ससर्प॥
05,047,तस्यैकनागस्य कपोलभित्त्योर्जलावगाहक्षणमेकशान्ता।,वन्येतरानेकपदर्शनेन पुनर्दिदीपे मददुर्दिनश्रीः॥
05,048,सप्तच्छदक्षीरकटुप्रवाहमसह्यमाघ्राय मदं तदीयम्।,विलङ्घिताधोरणतीव्रयत्नाः सेनागजेन्द्रा विमुखा बभूवुः॥
05,049,स च्छिन्नबन्धद्रुतयुग्यशून्यं भग्नक्षपर्यस्तरथं क्षणेन।,रामापरित्राणविहस्तयोधं सेनानिवेशं तुमुलं चकार॥
05,050,तमापतन्तं नृपतेरवध्यो वन्यः करीति श्रुतवान्कुमारः।,निर्वर्तयिष्यन्विशिखेन कुम्भे जघान नात्यायतकृष्टशार्ङ्गः॥
05,051,स विद्धमात्रः किल नागरूपमुत्सृज्य तद्विस्मितसैन्यदृष्टः।,स्फुरत्प्रभामण्डलमध्यवर्ति कान्तं वपुर्व्योमचरः प्रपेदे॥
05,052,अथ प्रभावोपनतैः कुमारं कल्पद्रुमोत्थैरवकीर्य पुष्पैः।,उवाच वाग्ग्मी दशनप्रभाभिः संवर्धितोरःस्थलतारहारः॥
05,053,मतङ्गशापादवलेपमूलादवाप्तवानस्मि मतङ्गजत्वम्।,अवेहि गन्धर्वपतेस्तनूजं प्रियंवदं मां प्रियदर्शनस्य॥
05,054,स चानुनीतः प्रणतेन पश्चान्मया महर्षिर्मृदुतामगच्छत्।,उष्णत्वमग्न्यातपसंप्रयोगाच्छैत्यं हि यत्सा प्रकृतिर्जलस्य॥
05,055,इक्ष्वाकुवंशप्रभवो यदा ते भेत्स्यत्यजः कुम्भमयोमुखेन।,संयोक्ष्यसे स्वेन वपुर्महिम्ना तदेत्यवोचत्स तपोनिधिर्माम्॥
05,056,संमोचितः सत्त्ववता त्वयाहं शापाच्चिरप्रार्थितदर्शनेन।,प्रतिप्रियं चेद्भवतो न कुर्यां वृथा हि मे स्यात्स्वपदोपलब्धिः॥
05,057,संमोहनं नाम सखे ममास्त्रं प्रयोगसंहारविभक्तमन्त्रम्।,गान्धर्वमादत्स्व यतः प्रयोक्तुर्न चारिहिंसा विजयश्च हस्ते॥
05,058,अलं ह्रिया मां प्रति यन्मुहूर्तं दयापरोऽभूः प्रहरन्नपि त्वम्।,तस्मादुपच्छन्दयति प्रयोज्यं मयि त्वया न प्रतिषेधरौक्ष्यम्॥
05,059,तथेत्युपस्पृश्य पयः पवित्रं सोमोद्भवायाः सरितो नृसोमः।,उदङ्मुखः सोऽस्त्रविदस्त्रमन्त्रं जग्राह तस्मान्निगृहीतशापात्॥
05,060,एवं तयोरध्वनि दैवयोगादासेदुषोः सख्यमचिन्त्यहेतु।,एको ययौ चैत्ररथप्रदेशान्सौराज्यरम्यानपरो विदर्भान्॥
05,061,तं तस्थिवांसं नगरोपकण्ठे तदागमारूढगुरुप्रहर्षः।,प्रत्युज्जगाम क्रथकैशिकेन्द्रश्चन्द्रं प्रवृद्धोर्मिरिवोर्मिमाली॥
05,062,प्रवेश्य चैनं पुनरग्रयायी नीचैस्तथोपाचरदर्पितश्रीः।,मेने यथा तत्र जनः समेतो वैदर्भमागन्तुमजं गृहेशम्॥
05,063,तस्याधिकारपुरुषैः प्रणतैः प्रदिष्टां प्राग्द्वारवेदिविनिवेशितपूर्णकुम्भाम्।,रम्यां रघुप्रतिनिधिः स नवोपकार्यां बाल्यात्परामिव दशां मदनोऽध्युवास॥
05,064,तत्र स्वयंवरसमाहृतराजलोकं कन्याललाम कमनीयमजस्य लिप्सोः।,भावावबोधकलुषा दयितेव रात्रौ निद्रा चिरेण नयनाभिमुखी बभूव॥
05,065,तं कर्णभूषणनिपीडितपीवरांसं शय्योत्तरच्छदविमर्दकृशाङ्गरागम्।,सूतात्मजाः सवयसः प्रथितप्रबोधं प्राबोधयन्नुषसि वाग्भिरुदारवाचः॥
