Index,संस्कृतम्,Morphological Analysis,शब्दविश्लेषणम्,हिन्दी-विभक्ति:,हिन्दी अर्ध,English Meaning
2.1.đ,8.1.Aविष्णुना,8.1.CB-C,8.1.Dविष्णु{3}{पुं-ए.},8.1.Eविष्णु+{से3},8.1.Fविष्णु~के,8.1.GVishnu
2.1.Ē,सदृशः,B-A,सदृश{1}{पुं-ए.},सदृश+{0/ने},समान,like
2.1.ē,वीर्ये,B-G,वीर्य{7}{नपुं-ए.},वीर्य+{में/पर},पराक्रम~में,in_prowess
2.1.Ĕ,सोमवत्,B-A,सोमवत्{1}{पुं-ए.},सोमवत्+{0/ने},चन्द्र~की~तरह,like_the_moon
2.1.ĕ,प्रिय-दर्शनः,B-A,प्रियदर्शन{1}{पुं-ए.},प्रियदर्शन+{0/ने},प्रिय~दिखाई~देनेवाले,possessed_of_pleasing_appearance
2.1.Ė,8.2.Aकालाग्नि-सदृशः,8.2.CB-A,8.2.Dकालाग्नि-सदृश{1}{पुं-ए.},8.2.Eकालाग्नि-सदृश+{0/ने},8.2.Fकालाग्नि-समान,8.2.Gresembling_the_destructive_fire
2.1.ė,क्रोधे,B-G,क्रोध{7}{पुं-ए.},क्रोध+{में/पर},क्रोध~में,in_anger
2.1.Ę,क्षमया,B-C,क्षमा{3}{स्त्री-ए.},क्षमा+{से3},क्षमा~में,in_forbearance
2.1.ę,पृथिवी-समः,B-A,पृथिवी-सम{1}{पुं-ए.},पृथिवी-सम+{0/ने},पृथिवी~के~समान,counter_part_of_earth
2.1.Ě,18,-,18,18,18,18
2.1.ě,9.1.Aधनदेन,9.1.CB-C,9.1.Dधनद{3}{पुं-ए.},9.1.Eधनद+{से3},9.1.Fकुबेर~के,9.1.Gwith_Kubera_(the_god_of_wealth)
2.1.Ĝ,समः,B-A,सम{1}{पुं-ए.},सम+{0/ने},समान,just_like
2.1.ĝ,त्यागे,B-G,त्याग{7}{पुं-ए.},त्याग+{में/पर},दान~में,in_liberality
2.1.Ğ,सत्ये,B-G,सत्य{7}{नपुं-ए.},सत्य+{में/पर},सत्य~में,in_truthfulness
2.1.ğ,धर्मः,B-A,धर्म{1}{पुं-ए.},धर्म+{0/ने},धर्मदेव,the_god_of_piety
2.1.Ġ,इव,-,इव,इव,के~समान,like
2.1.ġ,अपरः,B-A,अपर{1}{पुं-ए.},अपर+{0/ने},दूसरा,another
2.1.Ģ,9.2.Aतम्,9.2.CB-B,9.2.Dतद्{2}{पुं-ए.},9.2.Eतद्+{को2},9.2.Fराम~को,9.2.Gaforesaid
2.1.ģ,एवं-गुण-सम्पन्नम्,B-B,एवंगुणसम्पन्न{2}{पुं-ए.},एवंगुणसम्पन्न+{को2},पूर्व~में~कहे~गए~गुणों~से~सम्पन्न,endowed_with_the_aforesaid_qualities
2.1.Ĥ,रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम,by_shri_Rama
2.1.ĥ,सत्य-परा-क्रमम्,-,सत्य-परा-क्रम{2}{पुं-ए.},सत्य-परा-क्रम+{को2},अमोघ~पराक्रम~वाले,possessed_of_unfailing_prowess
2.1.Ħ,10.1.Aज्येष्ठं,10.1.CB-B,10.1.Dज्येष्ठ{2}{पुं-ए.},10.1.Eज्येष्ठ+{को2},10.1.Fसबसे~बडे,10.1.Geldest
2.1.ħ,ज्येष्ठ-गुणैः,B-C,ज्येष्ठगुण{3}{पुं-ब.},ज्येष्ठगुण+{से3},उत्तम~गुणों~से,with_highest_virtues
2.1.Ĩ,युक्तम्,B-B,युक्त{2}{पुं-ए.},युक्त+{को2},लगे~हुए,endowed
2.1.ĩ,प्रियम्,B-B,प्रिय{2}{पुं-ए.},प्रिय+{को2},प्रिय,be_loved
2.1.Ī,दशरथः,B-A,दशरथ{1}{पुं-ए.},दशरथ+{0/ने},दशरथ,Dasharatha
2.1.ī,सुतम्,B-B,सुत{2}{पुं-ए.},सुत+{को2},पुत्र~को,son
2.1.Ĭ,10.2.Aप्रकृतीनां,10.2.CB-F,10.2.Dप्रकृति{6}{स्त्री-ब.},10.2.Eप्रकृति+{का},10.2.Fप्रजा~के,10.2.Gof_the_people
2.1.ĭ,हितैः,B-C,हित{3}{नपुं-ब.},हित+{से3},कल्याण~में,to_the_interests
2.1.Į,युक्तम्,B-B,युक्त{2}{पुं-ए.},युक्त+{को2},लगे~हुए,endowed
2.1.į,प्रकृति-प्रिय-काम्यया,B-C,प्रकृति-प्रिय-काम्या{3}{स्त्री-ए.},प्रकृति-प्रिय-काम्या+{से3},प्रजा~कल्याण~की~इच्छा~से,with_intent_to_gratify_the_people
2.1.İ,11.1.Aयौवराज्येन,11.1.CB-C,11.1.Dयौवराज्य{3}{नपुं-ए.},11.1.Eयौवराज्य+{से3},11.1.Fयौवराज्येन,11.1.Goffice of regent
2.1.ı,संयोक्तुम्,-,संयोक्तुम्,संयोक्तुम्,आरूढ~करने~के~लिए,to_invest_with_office_of_regent
2.1.Ĳ,ऐच्छत्,B-v,इष{कर्तरि_लङ्_प्रपु_एक},इष{कर्तरि_लङ्_प्रपु_एक},चाहा,sought
2.1.ĳ,प्रीत्या,B-C,प्रीति{3}{स्त्री-ए.},प्रीति+{से3},सहर्ष,lovingly
2.1.Ĵ,मही-पतिः,B-A,मही-पति{1}{पुं-ए.},मही-पति+{0/ने},राजा,Emperor
2.1.ĵ,11.2.Aतस्य,11.2.CB-F,11.2.Dतद्{6}{पुं-ए.},11.2.Eतद्+{का},11.2.Fराम~के,11.2.Gof_Rama
2.1.Ķ,अभिषेक-सम्भारान्,B-B,अभिषेक-संभार{2}{पुं-ब.},अभिषेक-संभार+{को2},अभिषेक~प्रस्तुति~को,preparations_for_coronation
2.1.ķ,दृष्ट्वा,-,दृष्ट्वा,दृष्ट्वा,देखकर,having_witnessed
2.1.ĸ,भार्या,B-A,भार्या{1}{स्त्री-ए.},भार्या+{0/ने},भार्या,spouse
2.1.Ĺ,अथ,-,अथ,अथ,इसके~पश्चात्,After_that
2.1.ĺ,कैकयी,B-A,कैकयी{1}{स्त्री-ए.},कैकयी+{0/ने},केकय~नरेश~की~पुत्री,Kaikeyi
2.1.Ļ,21,-,21,21,21,21
2.1.ļ,12.1.Aपूर्वम्,12.1.CB-B,12.1.Dपूर्व{2}{नपुं-ए.},12.1.Eपूर्व+{को2},12.1.Fपूर्व~में,12.1.Gon_a_former_occassion
2.1.Ľ,दत्त-वरा,B-A,दत्त-वरा{1}{स्त्री-ए.},दत्त-वरा+{0/ने},वर~को~प्राप्त~की~हुई,having_granted_a_boon
2.1.ľ,देवी,B-A,देवी{1}{स्त्री-ए.},देवी+{0/ने},देवी,queen
2.1.Ŀ,वरम्,B-B,वर{2}{पुं-ए.},वर+{को2},वर,boon
2.1.ŀ,एनम्,B-B,एतद्{2}{पुं-ए.},एतद्+{को2},दशरथ~से,him(to_Dasharatha)
2.1.Ł,अयाचत,B-v,याच्{कर्तरि_लङ्_प्रपु_एक},याच्{कर्तरि_लङ्_प्रपु_एक},मांगा,asked
2.1.ł,12.2.Aवि-वासनम्,12.2.CB-B,12.2.Dवि-वासन{2}{नपुं-ए.},12.2.Eवि-वासन+{को2},12.2.Fनिर्वासनम्,12.2.Gexile_(of_Rama)
2.1.Ń,च,-,च,च,और,and
2.1.ń,रामस्य,B-F,राम{6}{पुं-ए.},राम+{का},राम~की,of_Rama
2.1.Ņ,भरतस्य,-,भरत{6}{पुं-ए.},भरत+{का},भरत~का,of_Barawa
2.1.ņ,अभि-षेचनम्,B-B,अभिषेचन{2}{नपुं-ए.},अभिषेचन+{को2},राज्याभिषेकम्,installation(of_Bharata)
2.1.Ň,22,-,22,22,22,22
2.1.ň,13.1.Aसः,13.1.CB-A,13.1.Dतद्{1}{पुं-ए.},13.1.Eतद्+{0/ने},13.1.Fवह,13.1.Ghe
2.1.ŉ,सत्य-वचनात्,B-A,सत्यवचन{5}{पुं-ए.},सत्यवचन+{से},सत्य~प्रतिज्ञ~होने~के~कारण,due_to_his_speaking_the_truth
2.1.Ŋ,राजा,B-A,राजन्{1}{पुं-ए.},राजन्+{0/ने},राजा,king
2.1.ŋ,धर्म-पाशेन,B-C,धर्मपाश{3}{पुं-ए.},धर्मपाश+{से3},धर्म~बन्धन~से,by_the_tie_of_duty
2.1.Ō,संयतः,B-A,संयत{1}{पुं-ए.},संयत+{0/ने},बँधा~हुआ,bound
2.1.ō,13.2.Aवि-वासयामास,13.2.CB-v,13.2.Dवि+वस्+णिच्{कर्तरि_लिट्_प्रपु_एक},13.2.Eवि+वस्+णिच्{कर्तरि_लिट्_प्रपु_एक},13.2.Fनिर्वासित~किया,13.2.Gexiled
2.1.Ŏ,सुतम्,B-B,सुत{2}{पुं-ए.},सुत+{को2},पुत्र~को,son
2.1.ŏ,रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम,by_shri_Rama
2.1.Ő,दशरथः,B-A,दशरथ{1}{पुं-ए.},दशरथ+{0/ने},दशरथ,Dasharatha
2.1.ő,प्रियम्,B-B,प्रिय{2}{पुं-ए.},प्रिय+{को2},प्रिय,be_loved
2.1.Œ,14.1.Aसः,14.1.CB-A,14.1.Dतद्{1}{पुं-ए.},14.1.Eतद्+{0/ने},14.1.Fवह,14.1.Ghe
2.1.œ,जगाम,B-v,गम्{कर्तरि_लिट्_प्रपु_एक},गम्{कर्तरि_लिट्_प्रपु_एक},गये,went
2.1.Ŕ,वनं,B-B,वन{2}{नपुं-ए.},वन+{को2},वन~[को],to_the_forest
2.1.ŕ,वीरः,B-A,वीर{1}{पुं-ए.},वीर+{0/ने},वीर,the_hero_(Rama)
2.1.Ŗ,प्रति-ज्ञाम्,B-B,प्रतिज्ञा{2}{स्त्री-ए.},प्रतिज्ञा+{को2},प्रतिज्ञा~का,the_pledge
2.1.ŗ,अनु-पालयन्,-,अनु-पालयत्{1}{पुं-ए.},अनु-पालयत्+{0/ने},पालन~करते~हुए,in_order_to_implement
2.1.Ř,14.2.Aपितुः,14.2.CB-F,14.2.Dपितृ{6}{पुं-ए.},14.2.Eपितृ+{का},14.2.Fपिता,14.2.Ghis_father's
2.1.ř,वचन-निर्देशात्,-,वचन-निर्देश{5}{पुं-ए.},वचन-निर्देश+{से},की~आज्ञा~से,in_obedience_to_command
2.1.Ś,कैकेय्याः,-,कैकेयी{6}{पुं-ए.},कैकेयी+{का},कैकेयी~की,Kaikeyi
2.1.ś,प्रिय-कारणात्,-,प्रिय-कारण{5}{पुं-ए.},प्रिय-कारण+{से},प्रसन्नता~के~कारण,with_a_view_to_please
2.1.Ŝ,15.1.Aतम्,15.1.CB-B,15.1.Dतद्{2}{पुं-ए.},15.1.Eतद्+{को2},15.1.Fराम~को,15.1.Gaforesaid
2.1.ŝ,व्रजन्तम्,B-B,व्रजन्त{2}{पुं-ए.},व्रजन्त+{को2},जाते~हुए,setting_out
2.1.Ş,प्रियः,B-A,प्रिय{1}{पुं-ए.},प्रिय+{0/ने},प्रिय,loving
2.1.ş,भ्राता,B-A,भ्रातृ{1}{पुं-ए.},भ्रातृ+{0/ने},भाई,younger_brother
2.1.Š,लक्ष्मणः,B-A,लक्ष्मण{1}{पुं-ए.},लक्ष्मण+{0/ने},लक्ष्मण,Lakshmana
2.1.š,अनु-जगाम,B-v,अनु-गम्{कर्तरि_लिट्_प्रपु_एक},अनु-गम्{कर्तरि_लिट्_प्रपु_एक},अनुसरण~किया,followed
2.1.Ţ,ह,-,ह,ह,ह,ह
2.1.ţ,15.2.Aस्नेहात्,15.2.CB-A,15.2.Dस्नेह{5}{पुं-ए.},15.2.Eस्नेह+{से},15.2.Fस्नेह~से,15.2.Gout_of_affection
2.1.Ť,विनय-सम्पन्नः,B-A,विनयसम्पन्न{1}{पुं-ए.},विनयसम्पन्न+{0/ने},विनम्र,adorned_with_modesty
2.1.ť,सुमित्रानन्द-वर्धनः,B-A,सुमित्रानन्दवर्धन{1}{पुं-ए.},सुमित्रानन्दवर्धन+{0/ने},सुमित्रा~की~प्रीति~को~बढाने~वाले,one_who_enhanced_the_delight_of(his_mother)_Sumitra
2.1.Ŧ,25,-,25,25,25,25
2.1.ŧ,16.1.Aभ्रातरम्,16.1.CB-B,16.1.Dभ्रातृ{2}{पुं-ए.},16.1.Eभ्रातृ+{को2},16.1.Fभाई~को,16.1.Gbrother
2.1.Ũ,दयितः,B-A,दयित{1}{पुं-ए.},दयित+{0/ने},प्रिय,favorite
2.1.ũ,भ्रातुः,B-F,भ्रातृ{6}{पुं-ए.},भ्रातृ+{का},भाई~के,of(his)brother
2.1.Ū,सौभ्रात्रम्,B-B,सौभ्रात्र{2}{नपुं-ए.},सौभ्रात्र+{को2},उत्तमभ्रातृत्व,his_amicable_brotherly_relation
2.1.ū,अनु-दर्शयन्,B-A,अनुदर्शयत्{1}{पुं-ए.},अनुदर्शयत्+{0/ने},प्रदर्शित~करता~हुआ,showing
2.1.Ŭ,16.2.Aरामस्य,16.2.CB-F,16.2.Dराम{6}{पुं-ए.},16.2.Eराम+{का},16.2.Fराम~की,16.2.Gof_Rama
2.1.ŭ,दयिता,B-A,दयिता{1}{स्त्री-ए.},दयिता+{0/ने},प्रिया,the_beloved
2.1.Ů,भार्या,B-A,भार्या{1}{स्त्री-ए.},भार्या+{0/ने},भार्या,spouse
2.1.ů,नित्यं,B-B,नित्य{2}{नपुं-ए.},नित्य+{को2},हमेशा,ever
2.1.Ű,प्राण-समा,B-A,प्राणसमा{1}{स्त्री-ए.},प्राणसमा+{0/ने},प्राण-समा,dear(to_him)_as_life
2.1.ű,हिता,B-A,हिता{1}{स्त्री-ए.},हिता+{0/ने},हित~करने~वाली,friendly
2.1.Ų,26,-,26,26,26,26
2.1.ų,17.1.Aजनकस्य,17.1.CB-F,17.1.Dजनक{6}{पुं-ए.},17.1.Eजनक+{का},17.1.Fमिथिला~नरेश~के,17.1.GJanaka's
2.1.Ŵ,कुले,B-G,कुल{7}{पुं-ए.},कुल+{में/पर},वंश~में,in_family
2.1.ŵ,जाता,B-A,जाता{1}{स्त्री-ए.},जाता+{0/ने},उत्पन्न,born
2.1.Ŷ,देव-माया,B-A,देवमाया{1}{स्त्री-ए.},देवमाया+{0/ने},मोहिनी,like_lord's_wonderful_poetency
2.1.ŷ,इव,-,इव,इव,के~समान,like
2.1.Ÿ,निर्मिता,B-A,निर्मिता{1}{स्त्री-ए.},निर्मिता+{0/ने},निर्मिता,manifested
2.1.Ź,17.2.Aसर्व-लक्षण-सम्पन्ना,17.2.CB-A,17.2.Dसर्वलक्षणसम्पन्ना{1}{स्त्री-ए.},17.2.Eसर्वलक्षणसम्पन्ना+{0/ने},17.2.Fसभी~उत्तम~स्त्री~के~लक्षण~से~युक्त,17.2.Gendowed_with_all_auspicious_marks
2.1.ź,नारीणाम्,B-F,नारी{6}{स्त्री-ब.},नारी+{का},स्त्रियों~में,amongst_the_women
2.1.Ż,उत्तमा,B-A,उत्तमा{1}{स्त्री-ए.},उत्तमा+{0/ने},श्रेष्ठ,best
2.1.ż,वधूः,-,वधू{1}{स्त्री-ए.},वधू+{0/ने},वधू,the_daughter-in-law
2.1.Ž,27,-,27,27,27,27
2.1.ž,18.1.Aसीता,18.1.C-,18.1.Dसीता{1}{स्त्री-ए.},18.1.Eसीता+{0/ने},18.1.Fसीता,18.1.Gsita
2.1.ſ,अपि,-,अपि,अपि,भी,also
2.1.ƀ,अनु-गता,-,अनु-गता{1}{स्त्री-ए.},अनु-गता+{0/ने},के~पीछे~गई,accompanied
2.1.Ɓ,रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम,by_shri_Rama
2.1.Ƃ,शशिनम्,-,शशिन्{2}{पुं.-ए.},शशिन्{को2},चन्द्र,moon
2.1.ƃ,रोहिणी,-,रोहिणी{1}{स्त्री-ए.},रोहिणी+{0/ने},चन्द्रमा~की~पत्नी~रोहिणी,Rohini(wife_of_the_moon)
2.1.Ƅ,यथा,-,यथा,यथा,के~जैसे,like
2.1.ƅ,18.2.Aपौरैः,18.2.CB-C,18.2.Dपौर{3}{पुं-ब.},18.2.Eपौर+{से3},18.2.Fपुरवासियों~के~द्वारा,18.2.Gby_the_citizens(of_Ayodhya)
2.1.Ɔ,अनुगतः,B-A,अनुगत{1}{पुं-ए.},अनुगत+{0/ने},अनुसरण~किया~गया,followed
2.1.Ƈ,दूरम्,B-B,दूर{2}{नपुं-ए.},दूर+{को2},दूर~तक,a_far
2.1.ƈ,पित्रा,B-C,पितृ{3}{पुं-ए.},पितृ+{से3},पिता,by_father
2.1.Ɖ,दशरथेन,B-C,दशरथ{3}{पुं-ए.},दशरथ+{से3},दशरथ~के~द्वारा,by_Dasharatha
2.1.Ɗ,च,-,च,च,और,and
2.1.Ƌ,28,-,28,28,28,28
2.1.ƌ,19.1.Aशृङ्गवेर-पुरे,19.1.CB-G,19.1.Dशृङ्गवेरपुर{7}{नपुं-ए.},19.1.Eशृङ्गवेरपुर+{में/पर},19.1.Fशृङ्गवेरपुर~में,19.1.Gat_shringaverapura
2.1.ƍ,सूतं,B-B,सूत{2}{पुं-ए.},सूत+{को2},सूतं,to_the_Charioteer
2.1.Ǝ,गङ्गा-कूले,B-G,गङ्गाकूल{7}{नपुं-ए.},गङ्गाकूल+{में/पर},गङ्गा~के~तीर~पर,on_the_bank_of_Ganga
2.1.Ə,व्यसर्जयत्,B-v,वि_सृज्+णिच्{कर्तरि_लङ्_प्रपु_एक},वि_सृज्+णिच्{कर्तरि_लङ्_प्रपु_एक},लौटा~दिया,sent_away
2.1.Ɛ,19.2.Aगुहम्,19.2.CB-B,19.2.Dगुह{2}{पुं-ए.},19.2.Eगुह+{को2},19.2.Fगुह~को,19.2.Gto_Guha
2.1.Ƒ,आसाद्य,-,आसाद्य,आसाद्य,प्राप्त~कर,having_met
2.1.ƒ,धर्मात्मा,B-A,धर्मात्मन्{1}{पुं-ए.},धर्मात्मन्+{0/ने},पुण्यात्मा~(राम~ने),virtue-incarnate
2.1.Ɠ,निषादाधिपतिं,B-B,निषादाधिपति{2}{पुं-ए.},निषादाधिपति+{को2},निषदों~के~राजा,the_chief_of_Nishadas
2.1.Ɣ,प्रियम्,B-B,प्रिय{2}{पुं-ए.},प्रिय+{को2},प्रिय,be_loved
2.1.ƕ,29,-,29,29,29,29
2.1.Ɩ,20.1.Aगुहेन,20.1.CB-C,20.1.Dगुह{3}{पुं-ए.},20.1.Eगुह+{से3},20.1.Fगुह,20.1.GGuha_by_name
2.1.Ɨ,सहितः,B-A,सहित{1}{पुं-ए.},सहित+{0/ने},के~साथ,accompanied
2.1.Ƙ,रामः,B-A,राम{1}{पुं-ए.},राम+{0/ने},राम,shri_Rama
2.1.ƙ,लक्ष्मणेन,B-C,लक्ष्मण{3}{पुं-ए.},लक्ष्मण+{से3},लक्ष्मण,Lakshmana
2.1.ƚ,च,-,च,च,और,and
2.1.ƛ,सीतया,B-C,सीता{3}{स्त्री-ए.},सीता+{से3},सीता,by_Sita
2.1.Ɯ,20.2.Aते,20.2.CB-A,20.2.Dतद्{1}{पुं-ब.},20.2.Eतद्+{0/ने},20.2.Fवे,20.2.Gthey
2.1.Ɲ,वनेन,B-C,वन{3}{नपुं-ए.},वन+{से3},वन~से,from_forest
2.1.ƞ,वनम्,B-B,वन{2}{नपुं-ए.},वन+{को2},वन~[को],to_forest
2.1.Ɵ,गत्वा,-,गत्वा,गत्वा,जाकर,having_gone
2.1.Ơ,नदीः,B-B,नदी{2}{स्त्री-ब.},नदी+{को2},नदियों~को,rivers
2.1.ơ,तीर्त्वा,-,तीर्त्वा,तीर्त्वा,पार~कर,having_crossed
2.1.Ƣ,बहूदकाः,B-B,बहूदका{2}{स्त्री-ब.},बहूदका+{को2},गहरी,containing_deep_water
2.1.ƣ,30,-,30,30,30,30
2.1.Ƥ,21.1.Aचित्रकूटम्,21.1.CB-B,21.1.Dचित्रकूट{2}{पुं-ए.},21.1.Eचित्रकूट+{को2},21.1.Fचित्रकूटनामक~पर्वत~को,21.1.GCitrakuta_(mountain)
2.1.ƥ,अनु-प्राप्य,-,अनुप्राप्य,अनुप्राप्य,प्राप्तकर,having_reached
2.1.Ʀ,भरद्वाजस्य,B-F,भरद्वाज{6}{पुं-ए.},भरद्वाज+{का},भरद्वाज~नामक~ऋषि~की,of_the_Bharadvaja
2.1.Ƨ,शासनात्,B-A,शासन{5}{पुं-ए.},शासन+{से},आज्ञा~से,according_to_the_instruction
2.1.ƨ,21.2.Aरम्यम्,21.2.CB-B,21.2.Dरम्य{2}{पुं-ए.},21.2.Eरम्य+{को2},21.2.Fमनोहर,21.2.Glovely
2.1.Ʃ,आवसथं,B-B,आवसथ{2}{पुं-ए.},आवसथ+{को2},पर्णशाला~को,cottage
2.1.ƪ,कृत्वा,-,कृत्वा,कृत्वा,(करके)~निर्माण~करके,having_built
2.1.ƫ,रममाणाः,B-A,रममाण{1}{पुं-ब.},रममाण+{0/ने},विहार~करते~हुए,sporting
2.1.Ƭ,वने,B-G,वन{7}{नपुं-ए.},वन+{में/पर},वन~में,in_the_forest
2.1.ƭ,त्रयः,B-A,त्रि{1}{पुं-ब.},त्रि+{0/ने},तीनों{राम~लक्ष्मण~सीता}~ने,three_(Rama_Lakshmana_and_Sita)
2.1.Ʈ,31,-,31,31,31,31
2.1.Ư,22.1.Aदेव-गन्धर्व-सङ्काशाः,22.1.CB-A,22.1.Dदेवगन्धर्वसङ्काश{1}{पुं-ब.},22.1.Eदेवगन्धर्वसङ्काश+{0/ने},22.1.Fदेवता~और~गन्धर्व~के~समान,22.1.Glike_Gods_and_Gandharvas
2.1.ư,तत्र,-,तत्र,तत्र,वहाँ,there
2.1.Ʊ,ते,B-A,तद्{1}{पुं-ब.},तद्+{0/ने},वे,they
2.1.Ʋ,न्यवसन्,B-v,नि+वस्{कतरि_लङ्_प्रपु_बहु},नि+वस्{कतरि_लङ्_प्रपु_बहु},निवास~किया,sojourned
2.1.Ƴ,सुखम्,B-B,सुख{2}{नपुं-ए.},सुख+{को2},सुखपूर्वक,happily
2.1.ƴ,1.ASloka,1.C-,1.DSloka,1.ESloka,1.FSloka,1.GSloka
2.1.Ƶ,2.1.Aचित्रकूटम्,2.1.CB-B,2.1.Dचित्रकूट{2}{पुं-ए.},2.1.Eचित्रकूट+{को2},2.1.Fचित्रकूट,2.1.Gto_Citrakuta
2.1.ƶ,गते,B-G,गत{7}{पुं-ए.},गत+{में/पर},चले~जाने~पर,having_proceeded
2.1.Ʒ,रामे,B-G,राम{7}{पुं-ए.},राम+{में/पर},राम~(के),shri_Rama
2.1.Ƹ,पुत्र-शोकातुरः,B-A,पुत्रशोकातुर{1}{पुं-ए.},पुत्रशोकातुर+{0/ने},पुत्र~शोक~से~व्याकुल,stricken_with_grief_at_the_separation_of_his_son
2.1.ƹ,तथा,-,तथा,तथा,तथा,then
2.1.ƺ,32,-,32,32,32,32
2.1.ƻ,3.1.Aराजा,3.1.CB-A,3.1.Dराजन्{1}{पुं-ए.},3.1.Eराजन्+{0/ने},3.1.Fराजा,3.1.Gthe_ruler(King)
2.1.Ƽ,दशरथः,B-A,दशरथ{1}{पुं-ए.},दशरथ+{0/ने},दशरथ,Dasharatha
2.1.ƽ,स्वर्गम्,B-B,स्वर्ग{2}{पुं-ए.},स्वर्ग+{को2},स्वर्ग,to_heaven
2.1.ƾ,जगाम,B-v,गम्{कर्तरि_लिट्_प्रपु_एक},गम्{कर्तरि_लिट्_प्रपु_एक},गया,proceeded
2.1.ƿ,वि-लपन्,B-A,विलपत्{1}{पुं-ए.},विलपत्+{0/ने},रोते~हुए,bewailing
2.1.ǀ,सुतम्,B-B,सुत{2}{पुं-ए.},सुत+{को2},सुतम्,son_(Rama)
2.1.ǁ,गते,B-G,गत{7}{पुं-ए.},गत+{में/पर},चले~जाने~पर,having_proceeded
2.1.ǂ,तु,-,तु,तु,किन्तु,but
2.1.ǃ,तस्मिन्,B-G,तद्{7}{नपुं-ए.},तद्+{में/पर},उस~(राजा~दशरथ)~के,तस्मिन्
2.1.Ǆ,भरतः,-,भरतः{1}{पुं-ए.},भरतः+{0/ने},भरत,Bharata
2.1.ǅ,वसिष्ठ-प्रमुखैः,-,वसिष्ठ-प्रमुख{3}{पुं-ब.},वसिष्ठ-प्रमुख+{से3},वसिष्ठ~की~प्रधानता~वाले,headed_by_the_sage_Vasishtha_etc.
2.1.ǆ,द्विजैः,B-C,द्विज{3}{पुं-ब.},द्विज+{से3},ब्राह्मणों~के~द्वारा,by_the_Brahmanas
2.1.Ǉ,33,-,33,33,33,33
2.1.ǈ,4.1.Aनि-युज्यमानः,4.1.CB-A,4.1.Dनियुज्यमान{1}{पुं-ए.},4.1.Eनियुज्यमान+{0/ने},4.1.Fनियुक्त~किया~जाता~हुआ,4.1.Gbeing_urged
2.1.ǉ,राज्याय,B-D,राज्य{4}{नपुं-ए.},राज्य+{को4},राज्य~के~लिए,to_rule_over_the_kingdom
2.1.Ǌ,न,-,न,न,न,(did)not
2.1.ǋ,ऐच्छत्,B-v,इष{कर्तरि_लङ्_प्रपु_एक},इष{कर्तरि_लङ्_प्रपु_एक},चाहा,hanker
2.1.ǌ,राज्यम्,B-B,राज्य{2}{नपुं-ए.},राज्य+{को2},राज्य,for_the_kingdom
2.1.Ǎ,महा-बलः,B-A,महाबल{1}{पुं-ए.},महाबल+{0/ने},महान्~बली,very_powerful
2.1.ǎ,सः,B-A,तद्{1}{पुं-ए.},तद्+{0/ने},वह~(भरत),he(Bharata)
2.1.Ǐ,जगाम,B-v,गम्{कर्तरि_लिट्_प्रपु_एक},गम्{कर्तरि_लिट्_प्रपु_एक},गया,proceeded
2.1.ǐ,वनम्,B-B,वन{2}{नपुं-ए.},वन+{को2},वन,forest
2.1.Ǒ,वीरः,B-A,वीर{1}{पुं-ए.},वीर+{0/ने},वीर,the_hero
2.1.ǒ,राम-पाद-प्रसादकः,B-A,रामपादप्रसादक{1}{पुं-ए.},रामपादप्रसादक+{0/ने},राम~चरण~को~प्रसन्न~करने~के~लिए,in_order_to_please_the_venerable_Rama
2.1.Ǔ,34,-,34,34,34,34
2.1.ǔ,5.1.Aगत्वा,5.1.C-,5.1.Dगत्वा,5.1.Eगत्वा,5.1.Fजा~कर,5.1.Ghaving_approached
2.1.Ǖ,तु,-,तु,तु,किन्तु,but
2.1.ǖ,सः,B-A,तद्{1}{पुं-ए.},तद्+{0/ने},वह~(भरत),he(Bharata)
2.1.Ǘ,महात्मानम्,B-B,महात्मन्{2}{पुं-ए.},महात्मन्+{को2},महात्मा,high_souled
2.1.ǘ,रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम~(से),to_Rama
2.1.Ǚ,सत्य-पराक्रमम्,B-B,सत्यपराक्रम{2}{पुं-ए.},सत्यपराक्रम+{को2},सत्य~पराक्रम~वाले,having_unfailing_prowess
2.1.ǚ,अयाचत्,B-v,याच्{कर्तरि_लङ्_प्रपु_एक},याच्{कर्तरि_लङ्_प्रपु_एक},माँगा,implored
2.1.Ǜ,भ्रातरम्,B-B,भ्रातृ{2}{पुं-ए.},भ्रातृ+{को2},भ्राता,brother
2.1.ǜ,रामम्,B-B,राम{2}{पुं-ए.},राम+{को2},राम~(से),to_Rama
2.1.ǝ,आर्य-भाव-पुरस्कृतः,B-A,आर्यभावपुरस्कृत{1}{पुं-ए.},आर्यभावपुरस्कृत+{0/ने},उच्चगुण~सम्पन्न,rich_in_noble_sentiment
2.1.Ǟ,35,-,35,35,35,35
2.1.ǟ,6.1.Aत्वम्,6.1.CB-A,6.1.Dयुष्मद्{1}{ए.},6.1.Eयुष्मद्+{0/ने},6.1.Fतुम,6.1.Gyou
2.1.Ǡ,एव,-,एव,एव,ही,alone
2.1.ǡ,राजा,B-A,राजन्{1}{पुं-ए.},राजन्+{0/ने},राजा,the_ruler(King)
