Sanskrit,Without Sandhi,Multipule Morphology,Morph in Context,Samaasa structural analysis,Samaasa vigraha,Kaaraka relation,Category,Hindi Meaning,English Meaning,Derivational Meaning,Sandhi rules,Meter: Guru-Laghu
5.1.Aकृष्ण,5.1.Bकृष्ण,5.1.Cकृष्ण{पुं}{8;एक}/कृष्ण{नपुं}{8;एक},5.1.Dकृष्ण{पुं}{8;एक},5.1.E-,5.1.F-,5.1.Gसम्बोध्यः 7,5.1.H-,5.1.Iहे कृष्ण,of these two,-,8.3.L-,GLG
कर्मणाम्,कर्मणां,कर्मन्{नपुं}{6;बहु},कर्मन्{नपुं}{6;बहु},-,-,षष्ठीसम्बन्धः 3,-,कर्मों के,which,-,-,GL
सन्न्यासम्,सन्न्यासं,सन्न्यास{पुं}{2;एक},सन्न्यास{पुं}{2;एक},-,-,समुच्चितम् 4,-,संन्यास की,one,-,-,LGGGGGLG
च,च,च{अव्य},च{अव्य},-,-,कर्म 7,-,और,unto me,-,रुत्व-उत्व-गुण-पूर्वरुप-सन्धिः (ससजुषो रुः (8।2।66)-अतो रोरप्लुतादप्लुते (6।1।113)-आद्गुणः (6।1।87)-एङः पदान्तादति (6।1।109)),GLGGLLLG
पुनः,पुनर्योगं,पुनः{अव्य},पुनः{अव्य},-,-,क्रियाविशेषणम् 7,-,फिर,definitely,-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),LGG
योगम्,-,योग{पुं}{2;एक},योग{पुं}{2;एक},-,-,समुच्चितम् 4,-,कर्मयोग की,beneficial,-,-,GLGLG
शंससि,शंससि,शंससि,शंस्{कर्तरि;लट्;म;एक;परस्मैपदी;शंसुँ;भ्वादिः},-,-,-,-,प्रशंसा करते हैं,is,-,-,8.4.MLG
एतयोः,एतयोरेकं,एता{स्त्री}{6;द्वि}/एता{स्त्री}{7;द्वि}/एतद्{पुं}{6;द्वि}/एतद्{पुं}{7;द्वि}/एतद्{स्त्री}{6;द्वि}/एतद्{स्त्री}{7;द्वि}/एतद्{नपुं}{6;द्वि}/एतद्{नपुं}{7;द्वि},एतद्{पुं}{6;द्वि},-,-,निर्धारणम् 13,-,इन दोनों में से,that,-,8.4.Lरुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),GG
यत्,यच्छ्रेय,यत्{अव्य}/यद्{नपुं}{1;एक}/यद्{नपुं}{2;एक}/यत्{अव्य},यद्{नपुं}{1;एक},-,-,सम्बन्धः 15,-,जो,please tell,-,-,LLGG
एकम्,-,एक{पुं}{2;एक}/एक{नपुं}{1;एक}/एक{नपुं}{2;एक},एक{नपुं}{1;एक},-,-,विशेषणम् 13,-,एक,5.2.Jrenunciation of work,-,-,LLGGLGLL
मे,-,अस्मद्{6;एक},अस्मद्{6;एक},-,-,षष्ठीसम्बन्धः 13,-,मेरे लिये,also,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)) / सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),GLLG
सुनिश्चितम्,सुनिश्चितम्,सुनिश्चित{पुं}{2;एक}/सुनिश्चित{नपुं}{1;एक}/सुनिश्चित{नपुं}{2;एक},सुनिश्चित{नपुं}{1;एक},-,-,विशेषणम् 13,-,भलीभाँति निश्चित,work in devotion,-,-,LL
श्रेयः,-,श्रेय{पुं}{1;एक}/श्रेयस्{नपुं}{1;एक}/श्रेयस्{नपुं}{2;एक}/श्रेयस्{नपुं}{8;एक},श्रेयस्{नपुं}{1;एक},-,-,कर्ता 14,-,कल्याणकारक साधन,both,-,-,GG
(भवति),-,(भवत्{पुं}{7;एक}/भवती{स्त्री}{8;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}),(भू){कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः},-,-,प्रतियोगी 9,-,(है),all leading to the path of liberation,-,-,LLGGGGGL
तत्,तन्मे,तद्{नपुं}{1;एक}/तद्{नपुं}{2;एक},तद्{नपुं}{2;एक},-,-,अनुयोगी 16,-,उसको,are,8.3.K-,रुत्व-उत्व-गुण-पूर्वरुप-सन्धिः (ससजुषो रुः (8।2।66)-अतो रोरप्लुतादप्लुते (6।1।113)-आद्गुणः (6।1।87)-एङः पदान्तादति (6।1।109)) / सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),8.5.MG
ब्रूहि,ब्रूहि,ब्रू1{कर्तरि;लोट्;म;एक;आत्मनेपदी;ब्रूञ्;अदादिः},ब्रू{कर्तरि;लोट्;म;एक;परस्मैपदी;ब्रूञ्;अदादिः},-,-,-,-,कहिये,but,-,8.5.L-,GLGG
5.2.Aसन्न्यासः,5.2.Bसन्न्यासः,5.2.Cसन्न्यास{पुं}{1;एक},5.2.Dसन्न्यास{पुं}{1;एक},5.2.E-,5.2.F-,5.2.Gसमुच्चितम् 2,5.2.H-,5.2.Iसंन्यास,of the two,-,-,L
च,-,च{अव्य},च{अव्य},-,-,कर्ता 6,-,और,in comparison to the renunciation of fruitive work,-,-,GGL
कर्म-योगः,कर्मयोगश्च,कर्मन्-योग{पुं}{1;एक},कर्मन्-योग{पुं}{1;एक},<कर्म-योगेन>K6,कर्म एव योगः = कर्मयोगः,समुच्चितम् 2,-,कर्मयोग,work in devotion,-,-,LGGG
उभौ,-,उभ{पुं}{1;द्वि}/उभ{पुं}{2;द्वि}/उभ{पुं}{1;द्वि}/उभ{पुं}{2;द्वि},उभ{पुं}{1;द्वि},-,-,विशेषणम् 5,-,दोनों,is better,-,-,LGLL
*निस्-श्रेयस-करौ,निःश्रेयसकरावुभौ,निःश्रेयस-कर{पुं}{1;द्वि}/कर{पुं}{2;द्वि},निःश्रेयस-कर{पुं}{1;द्वि},-,-,कर्तृसमानाधिकरणम् 6,-,परम कल्याण के करनेवाले,5.3.JO mighty-armed one,-,-,LGL
(स्तः),-,(स्तृ{पुं}{8;एक}/अस्2{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;द्वि;परस्मैपदी;असँ;अदादिः},-,-,-,-,(होते हैं),who,8.4.K-,-,L
तु,-,तु{अव्य},तु{अव्य},-,-,-,-,परंतु,never,-,विसर्गलोप-सन्धिः (एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6।1।132)),GGG
तयोः,तयोस्तु,तद्{पुं}{6;द्वि}/तद्{पुं}{7;द्वि}/तद्{स्त्री}{6;द्वि}/तद्{स्त्री}{7;द्वि}/तद्{नपुं}{6;द्वि}/तद्{नपुं}{7;द्वि},तद्{पुं}{6;द्वि},-,-,निर्धारणम् 10,-,उन दोनों में,abhors,-,-,GL
कर्म-सन्न्यासात्,कर्मसन्न्यासात्कर्मयोगो,कर्मन्-सन्न्यास{पुं}{5;एक},कर्मन्-सन्न्यास{पुं}{5;एक},<कर्म-सन्न्यासात्>T6,कर्मणः सन्न्यासः = कर्मसन्न्यासः तस्मात् कर्मसन्न्यासात्,अपादानम् 11,-,कर्मसंन्यास से,and,-,-,GLG
कर्म-योगः,-,कर्मन्-योग{पुं}{1;एक},कर्मन्-योग{पुं}{1;एक},<कर्म-योगेन>K6,कर्म एव योगः = कर्मयोगः,कर्ता 11,-,कर्मयोग,nor,-,-,GGL
विशिष्यते,विशिष्यते,विशिष्यता{स्त्री}{1;द्वि}/विशिष्यता{स्त्री}{2;द्वि}/विशिष्यता{स्त्री}{8;एक}/विशिष्यता{स्त्री}{8;द्वि}/वि शास्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;शासुँ;अदादिः}/वि शिष्2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;शिषॢँ;रुधादिः},वि शास्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;वि शासुँ;अदादिः},-,-,-,-,श्रेष्ठ है,desires,-,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)) / यण्-सन्धिः (इको यणचि (6।1।77)),8.6.MGGL
5.3.Aमहान्-बाहो,5.3.Bमहाबाहो,5.3.Cमहाबाहु{पुं}{8;एक}/महाबाहु{नपुं}{8;एक},5.3.Dमहाबाहु{पुं}{8;एक},5.3.E<महत्-बाहो>Bs6,5.3.Fमहान्तौ बाहू यस्य सः = महाबाहुः सम्बोधने महाबाहो,5.3.Gसम्बोध्यः 4,5.3.H-,5.3.Iहे अर्जुन,he,-,8.6.L-,G
यः,यो,यद्{पुं}{1;एक},यद्{पुं}{1;एक},-,-,सम्बन्धः 8,-,जो (पुरुष),always renouncer,-,-,G
न,न,न{अव्य},न{अव्य},-,-,सम्बन्धः 4,-,न,should be known,8.5.K-,-,GL
द्वेष्टि,द्वेष्टि,द्विष्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;द्विषँ;अदादिः},द्विष्{कर्तरि;लट्;प्र;एक;परस्मैपदी;द्विषँ;अदादिः},-,-,समुच्चितम् 5,-,द्वेष करता है,certainly,-,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),LGGG
(च),-,(च{अव्य}),(च){अव्य},-,-,प्रतियोगी 2,-,(और),free from all dualities,-,-,LGLL
न,न,न{अव्य},न{अव्य},-,-,सम्बन्धः 7,-,न,person,-,-,LGGG
काङ्क्षति,काङ्क्षति,काङ्क्षत्{पुं}{7;एक}/काङ्क्षत्{नपुं}{7;एक}/काङ्क्ष्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;काक्षिँ;भ्वादिः},काङ्क्ष्{कर्तरि;लट्;प्र;एक;परस्मैपदी;काक्षिँ;भ्वादिः},-,-,समुच्चितम् 5,-,आकांक्षा करता है,happily,-,यण्-सन्धिः (इको यणचि (6।1।77)),G
सः,स,तद्{पुं}{1;एक},तद्{पुं}{1;एक},-,-,अनुयोगी 10,-,वह (कर्मयोगी),from bondage,-,-,GGGL
नित्य-सन्न्यासी,नित्यसन्न्यासी,नित्य-सन्न्यासिन्{पुं}{1;एक},नित्य-सन्न्यासिन्{पुं}{1;एक},<नित्य-सन्न्यासी>K1,नित्यं तत् सन्न्यासी च = नित्यसन्न्यासी,कर्ता 10,-,सदा संन्यासी,is completely liberated,-,वृद्धि-सन्धिः (एत्येधत्यूठ्सु (6।1।89)),LG
ज्ञेयः,ज्ञेयः,ज्ञेय{पुं}{1;एक},ज्ञा{कृत् प्रत्ययः:यत्;ज्ञा;क्र्यादिः;पुं}{1;एक},-,-,-,-,समझने योग्य है,5.4.Janalytical study of the material world and work in devotional service,-,-,GGLGLG
हि,हि,हि{अव्य},हि{अव्य},-,-,-,-,क्योंकि,the less intelligent,-,-,8.7.MGGGGL
निर्-द्वन्द्वः,निर्द्वन्द्वो,निर्द्वन्द्व{पुं}{1;एक},निर्-द्वन्द्व{पुं}{1;एक},<निर्-द्वन्द्वः>Bvp,निर्गतः द्वन्द्वः यस्मात् सः = निर्द्वन्द्वः,विशेषणम् 13,-,राग-द्वेषादि द्वन्द्वों से रहित,different,-,8.7.Lचर्त्व-सन्धिः (खरि च (8।4।55)),GGL
(पुरुषः),-,(पुरुष{पुं}{1;एक}),(पुरुष){पुं}{1;एक},-,-,कर्ता 16,-,(पुरुष),say,-,-,GLGLL
सुखम्,सुखं,सुखम्{अव्य}/सुख{पुं}{2;एक}/सुख{नपुं}{1;एक}/सुख{नपुं}{2;एक},सुख{अव्य},-,-,क्रियाविशेषणम् 16,-,सुखपूर्वक,never,-,-,L
बन्धात्,बन्धात्प्रमुच्यते,बन्ध{पुं}{5;एक},बन्ध{पुं}{5;एक},-,-,अपादानम् 16,-,संसारबन्धन से,the learned,8.6.K-,-,GL
प्रमुच्यते,-,प्रमुच्यते,प्र मुच्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;प्र मुचॢँ;तुदादिः},-,-,-,-,मुक्त हो जाता है,say,-,-,GGLGLGGGGGGGLGLL
5.4.Aसाङ्ख्य-योगौ,5.4.Bसाङ्ख्ययोगौ,5.4.Cसाङ्ख्य-योग{पुं}{1;द्वि}/योग{पुं}{2;द्वि},5.4.Dसाङ्ख्य-योग{पुं}{1;द्वि},5.4.E<साङ्ख्य-योगौ>Di,5.4.Fसाङ्ख्यम् च योगः च = साङ्ख्ययोगौ,5.4.Gकर्म 4,5.4.H-,5.4.Iसंन्यास और कर्मयोग को,in one,-,यण्-सन्धिः (इको यणचि (6।1।77)) / रेफ-सन्धिः (ससजुषो रुः (8।2।66)) / वृद्धि-सन्धिः (वृद्धिरेचि (6।1।88)) / यण्-सन्धिः (इको यणचि (6।1।77)),8.8.MGGLGLL
बालाः,-,बाल{पुं}{1;बहु}/बाला{स्त्री}{1;बहु}/बाला{स्त्री}{2;बहु},बाल{पुं}{1;बहु},-,-,कर्ता 4,-,मूर्खलोग,even,-,8.8.Lसवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),GGLGLGGL
*पृथक्,पृथग्बालाः,पृथक्{अव्य},पृथक्{अव्य},-,-,क्रियाविशेषणम् 4,-,पृथक्-पृथक् (फल देनेवाले),complete,-,-,GLGLG
प्रवदन्ति,प्रवदन्ति,प्र वद्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;वदँ;भ्वादिः},प्र वद्{कर्तरि;लट्;प्र;बहु;परस्मैपदी;प्र वदँ;भ्वादिः},-,-,-,-,कहते हैं,being situated,-,-,GLG
न,न,न{अव्य},न{अव्य},-,-,सम्बन्धः 7,-,न,of both,-,-,LGG
पण्डिताः,पण्डिताः,पण्डित{पुं}{1;बहु}/पण्डिता{स्त्री}{1;बहु}/पण्डिता{स्त्री}{2;बहु},पण्डित{पुं}{1;बहु},-,-,कर्ता 7,-,पण्डितजन,the result,-,-,GG
(प्रवदन्ति),-,(प्र वद्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;वदँ;भ्वादिः}),(प्र वद्){कर्तरि;लट्;प्र;बहु;परस्मैपदी;प्र वदँ;भ्वादिः},-,-,-,-,(कहते हैं),enjoys,-,-,LLG
एकम्,एकमप्यास्थितः,एक{पुं}{2;एक}/एक{नपुं}{1;एक}/एक{नपुं}{2;एक},एक{नपुं}{1;एक},-,-,कर्ता 11,-,एक में,5.5.Jby means of Sankhya philosophy,-,-,GL
अपि,-,अपि{अव्य},अपि{अव्य},-,-,सम्बन्धः 8,-,भी,what,-,-,LG
*सम्यक्,सम्यगुभयोर्विन्दते,सम्यक्{अव्य},सम्यक्{अव्य},-,-,क्रियाविशेषणम् 11,-,सम्यक् प्रकार से,place,8.7.K-,-,LGGLLGLGGLGLGGGLGLGG
आस्थितः,-,आस्थित{पुं}{1;एक},आङ् स्था{कृत् प्रत्ययः:क्त;आङ् ष्ठा;भ्वादिः;पुं}{1;एक},-,-,-,-,स्थित,is achieved,-,रेफ-सन्धिः (ससजुषो रुः (8।2।66)) / जश्त्व-सन्धिः (झलां जशोऽन्ते (8।2।39)),GGL
उभयोः,-,उभ{पुं}{6;द्वि}/उभ{पुं}{7;द्वि}/उभ{नपुं}{6;द्वि}/उभ{नपुं}{7;द्वि}/उभ{पुं}{6;द्वि}/उभ{पुं}{7;द्वि}/उभ{नपुं}{6;द्वि}/उभ{नपुं}{7;द्वि}/उभा{स्त्री}{6;द्वि}/उभा{स्त्री}{7;द्वि}/उभा{स्त्री}{6;द्वि}/उभा{स्त्री}{7;द्वि},उभ{पुं}{6;द्वि},-,-,षष्ठीसम्बन्धः 13,-,दोनों के,by devotional service,-,-,GGGLGLGGGGLGG
फलम्,फलम्,फल{नपुं}{1;एक}/फल{नपुं}{2;एक},फल{नपुं}{2;एक},-,-,कर्म 14,-,फलरूप (परमात्मा को),also,-,-,GLG
विन्दते,-,विन्दता{स्त्री}{1;द्वि}/विन्दता{स्त्री}{2;द्वि}/विद्3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;विदॢँ;तुदादिः}/विद्4{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;विदँ;रुधादिः},विद्{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;विदॢँ;तुदादिः},-,-,-,-,प्राप्त होता है,that,-,-,LGG
5.5.Aसाङ्ख्यैः,5.5.B-,5.5.Cसाङ्ख्य{पुं}{3;बहु}/साङ्ख्य{नपुं}{3;बहु},5.5.Dसाङ्ख्य{नपुं}{3;बहु},5.5.E-,5.5.F-,5.5.Gकरणम् 4,5.5.H-,5.5.Iज्ञानयोगियों द्वारा,can attain,-,-,L
यत्,यत्साङ्ख्यैः,यत्{अव्य}/यद्{नपुं}{1;एक}/यद्{नपुं}{2;एक}/यत्{अव्य},यद्{नपुं}{2;एक},-,-,सम्बन्धः 7,-,जो,one who,8.8.K-,विसर्गलोप-सन्धिः (एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6।1।132)),GG
स्थानम्,स्थानं,स्थान{नपुं}{1;एक}/स्थान{नपुं}{2;एक},स्थान{नपुं}{2;एक},-,-,कर्म 4,-,परमधाम,analytical study,-,-,GG
प्राप्यते,प्राप्यते,प्राप्यता{स्त्री}{1;द्वि}/प्राप्यता{स्त्री}{2;द्वि}/प्र आप्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;आपॢँ;स्वादिः},प्र आप्{कर्मणि;लट्;प्र;एक;आत्मनेपदी;प्र आपॢँ;स्वादिः},-,-,प्रतियोगी 2,-,प्राप्त किया जाता है,and,-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),LGLGG
योगैः,-,योग{पुं}{3;बहु},योग{पुं}{3;बहु},-,-,करणम् 8,-,कर्मयोगियों द्वारा,action in devotion,-,-,GLLGL
अपि,-,अपि{अव्य},अपि{अव्य},-,-,सम्बन्धः 5,-,भी,one,-,-,LGGG
तत्,तद्योगैरपि,तद्{नपुं}{1;एक}/तद्{नपुं}{2;एक},तद्{नपुं}{1;एक},-,-,अनुयोगी 8,-,वही,sees,दिवि भवं दिव्यम्,रेफ-सन्धिः (ससजुषो रुः (8।2।66)),GGGGL
गम्यते,गम्यते,गम्यता{स्त्री}{1;द्वि}/गम्यता{स्त्री}{2;द्वि}/गम्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;गमॢँ;भ्वादिः},गम्{कर्मणि;लट्;प्र;एक;आत्मनेपदी;गमॢँ;भ्वादिः},-,-,-,-,प्राप्त किया जाता है,he,-,-,GL
यः,यः,यद्{पुं}{1;एक},यद्{पुं}{1;एक},-,-,सम्बन्धः 15,-,जो (पुरुष),and,-,-,GL
साङ्ख्यम्,सांख्यं,साङ्ख्य{पुं}{2;एक}/साङ्ख्य{नपुं}{1;एक}/साङ्ख्य{नपुं}{2;एक},साङ्ख्य{नपुं}{2;एक},-,-,समुच्चितम् 11,-,ज्ञानयोग को,actually sees,-,वृद्धि-सन्धिः (वृद्धिरेचि (6।1।88)),LLGLGL
च,च,च{अव्य},च{अव्य},-,-,कर्म 14,-,और,5.6.Jbut,पुराणि शरीराणि अणति गच्छतीति पुराणः तम्,सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),G
योगम्,योगं,योग{पुं}{2;एक},योग{पुं}{2;एक},-,-,समुच्चितम् 11,-,कर्मयोग को,O mighty-armed one,-,-,GL
एकम्,एकं,एक{पुं}{2;एक}/एक{नपुं}{1;एक}/एक{नपुं}{2;एक},एक{पुं}{2;एक},-,-,कर्मसमानाधिकरणम् 14,-,एक,without devotional service,-,-,LG
पश्यति,पश्यति,पश्यत्{पुं}{7;एक}/पश्यत्{नपुं}{7;एक}/दृश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;दृशिँर्;भ्वादिः},दृश्{कर्तरि;लट्;प्र;एक;परस्मैपदी;दृशिँर्;भ्वादिः},-,-,प्रतियोगी 9,-,देखता है,the renounced order of life,-,-,LLGLGL
सः,स,तद्{पुं}{1;एक},तद्{पुं}{1;एक},-,-,अनुयोगी 17,-,वह,afflicts one with,-,-,8.10.MGLLG
च,च,च{अव्य},च{अव्य},-,-,सम्बन्धः 17,-,ही,distress,-,8.10.Lरुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),LGLG
पश्यति,पश्यति,पश्यत्{पुं}{7;एक}/पश्यत्{नपुं}{7;एक}/दृश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;दृशिँर्;भ्वादिः},दृश्{कर्तरि;लट्;प्र;एक;परस्मैपदी;दृशिँर्;भ्वादिः},-,-,-,-,देखता है,is,-,जश्त्व-सन्धिः (झलां जशोऽन्ते (8।2।39)),LGL
5.6.Aतु,5.6.B-,5.6.Cतु{अव्य},5.6.Dतु{अव्य},5.6.E-,5.6.F-,5.6.G-,5.6.H-,5.6.Iपरंतु,a thinker,-,-,GLGG
महान्-बाहो,महाबाहो,महाबाहु{पुं}{8;एक}/महाबाहु{नपुं}{8;एक},महाबाहु{पुं}{8;एक},<महा-बाहो>Bs6,महान्तौ बाहू यस्य सः = महाबाहुः सम्बोधने महाबाहो,सम्बोध्यः 7,-,हे अर्जुन,engaged in devotional service,-,-,GLLG
अ-योगतः,-,अयोग{तसिल्},अयोगतः{तसिल्},<न-योगतः>Tn,न योगतः = अयोगतः,अपादानम् 5,-,कर्मयोग के बिना,the Supreme,-,जश्त्व-सन्धिः (झलां जशोऽन्ते (8।2।39)) / रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),LGL
सन्न्यासः*(सन्न्यासं),सन्न्यासस्तु,सन्न्यास{पुं}{1;एक},सन्न्यास{पुं}{2;एक},-,-,कर्म 5,-,संन्यास,without delay,-,-,LGGG
आप्तुम्,-,आप्1{कृत् प्रत्ययः:तुमुन्;आपॢँ;स्वादिः},आप्{कृत् प्रत्ययः:तुमुन्;आपॢँ;स्वादिः},-,-,नियतलिङ्ग 7,-,प्राप्त होना,attains,-,जश्त्व-सन्धिः (झलां जशोऽन्ते (8।2।39)) / रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),GLGG
दुःखम्,दुःखमाप्तुमयोगतः,दुःख{नपुं}{1;एक}/दुःख{नपुं}{2;एक},दुःख{नपुं}{1;एक},-,-,कर्ता 7,-,कठिन,5.7.Jself-controlled,-,-,LGL
(अस्ति),-,(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}),(अस्){कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः},-,-,-,-,(है),having conquered the senses,-,-,GG
मुनिः,मुनिर्ब्रह्म,मुनि{पुं}{1;एक},मुनि{पुं}{1;एक},-,-,कर्ता 12,-,मुनि,a purified soul,-,चर्त्व-सन्धिः (खरि च (8।4।55)),LG
योग-युक्तः,योगयुक्तो,योग-युक्त{पुं}{1;एक},योग-युक्त{पुं}{1;एक},<योग-युक्तः>T3,योगेन युक्तः = योगयुक्तः,कर्तृसमानाधिकरणम् 12,-,कर्मयोगी,and,-,-,GLGL
ब्रह्म,-,ब्रह्मन्{नपुं}{1;एक}/ब्रह्मन्{नपुं}{2;एक},ब्रह्मन्{नपुं}{2;एक},-,-,कर्म 12,-,परब्रह्म परमात्मा को,compassionate to all living entities,-,-,LGG
नचिरेण,नचिरेणाधिगच्छति,न-चिरेण{अव्य}/चिर{नपुं}{3;एक},न-चिर{नपुं}{3;एक},-,-,क्रियाविशेषणम् 12,-,शीघ्र ही,engaged in devotional service,-,-,8.11.MGGGGL
अधिगच्छति,-,अधि गम्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;गमॢँ;भ्वादिः},अधि गम्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अधि गमॢँ;भ्वादिः},-,-,-,-,प्राप्त हो जाता है,work,-,8.11.L-,GGL
5.7.Aविजित-आत्मा,5.7.Bविजितात्मा,5.7.Cविजित-आत्मन्{पुं}{1;एक},5.7.Dविजित-आत्मन्{पुं}{1;एक},5.7.E<विजित-आत्मा>Bs3,5.7.Fविजितः आत्मा येन सः = विजितात्मा,5.7.Gसमुच्चितम् 4,5.7.H-,5.7.Iजिसका मन अपने वश में है,engaged in work,8.10.K-,-,L
जित-इन्द्रियः,जितेन्द्रियः,जित-इन्द्रिय{पुं}{1;एक},जित-इन्द्रिय{पुं}{1;एक},<जित-इन्द्रियः>Bs3,जितानि इन्द्रियाणि येन सः = जितेन्द्रियः,समुच्चितम् 4,-,जो जितेन्द्रिय,although,-,-,LG
विशुद्ध-आत्मा,विशुद्धात्मा,विशुद्ध-आत्मन्{पुं}{1;एक},विशुद्ध-आत्मन्{पुं}{1;एक},<विशुद्ध-आत्मा>Bs6,विशुद्धः आत्मा यस्य सः = विशुद्धात्मा,समुच्चितम् 4,-,विशुद्ध अन्तःकरणवाला है,never,-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),LL
(च),-,(च{अव्य}),(च){अव्य},-,-,विशेषणम् 6,-,(और),is entangled,-,-,LGL
सर्व-भूत-आत्म-भूत-आत्मा,सर्वभूतात्मभूतात्मा,सर्व-भूत-आत्मभूत-आत्मन्{पुं}{1;एक},सर्व-भूत-आत्म-भूत-आत्मन्{पुं}{1;एक},<<<सर्व-भूत>K1-<आत्म-भूत>K6>T6-आत्मा>Bs6,"सर्वः च भूतः = सर्वभूतः, आत्मा एव भूतः = आत्मभूतः, सर्वभूतानाम् आत्मभूत = सर्वभूतात्मभूत, सर्वभूतात्मभूत आत्मा यस्य सः = सर्वभूतात्मभूतात्मा",समुच्चितम् 4,-,सम्पूर्ण प्राणियों का आत्मरूप परमात्मा ही जिसका आत्मा है,5.8.Jone who knows the truth,-,-,GGGLG
योग-युक्तः,योगयुक्तो,योग-युक्त{पुं}{1;एक},योग-युक्त{पुं}{1;एक},<योग-युक्तः>T3,योगेन युक्तः = योगयुक्तः,कर्म 11,-,कर्मयोगी,engaged in the divine consciousness,-,रुत्व-उत्व-गुण-सन्धिः (ससजुषो रुः (8।2।66)-हशि च (6।1।114)-आद्गुणः (6।1।87)),GGGGLG
(कर्म),-,(कर्मन्{नपुं}{1;एक}/कर्मन्{नपुं}{2;एक}),(कर्मन्){नपुं}{2;एक},-,-,कर्म 8,-,(कर्म),seeing,-,यण्-सन्धिः (इको यणचि (6।1।77)) / सवर्णदीर्घ-सन्धिः (अकः सवर्णे दीर्घः (6।1।101)),GLGLG
कुर्वन्,कुर्वन्नपि,कुर्वत्{पुं}{1;एक}/कुर्वत्{पुं}{1;एक},कृ{कृत् प्रत्ययः:शतृ;डुकृञ्;तनादिः;पुं}{1;एक},-,-,समानकालः 11,-,करता हुआ,hearing,-,-,G
अपि,-,अपि{अव्य},अपि{अव्य},-,-,सम्बन्धः 8,-,भी,touching,-,-,GGGGLG
न,न,न{अव्य},न{अव्य},-,-,सम्बन्धः 11,-,नहीं,smelling,-,यण्-सन्धिः (इको यणचि (6।1।77)),GL
लिप्यते,लिप्यते,लिप्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;लिपँ;तुदादिः},लिप्{कर्तरि;लट्;प्र;एक;आत्मनेपदी;लिपँ;तुदादिः},-,-,-,-,लिप्त होता,eating,पद्यते ज्ञायते इति पदम् / पद्यते प्राप्यते इति च पदं ज्ञेयं प्राप्यम् च तत्,-,GLGGLGLL
